risastóra	lheovf	risastór
tréð	nheog	tré
í	aþ	í
framgarðinu	x	framgarður
okkar	fp1fe	ég
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ekkert	fohen	enginn
mál	nhen	mál
.	.	.
Á	aþ	á
tímabili	nheþ	tímabil
héldum	sfg1fþ	halda
við	fp1fn	ég
þó	aa	þó
,	,	,
svona	aa	svona
í	aþ	í
alvörun	x	alvara
talað	sþghen	tala
,	,	,
að	c	að
massívu	lvfnvf	massívur
trjágreinarnar	nvfng	trjágrein
ætluðu	svg3fþ	ætla
í	aa	í
gegnum	ao	gegnum
stofugluggan	x	stofugluggi
en	c	en
það	fphen	það
bjargaðist	sfm3eþ	bjarga
sem	c	sem
betur	aam	vel
fer	sfg3en	fara
.	.	.
Á	aþ	á
endanum	nkeþg	endi
var	sfg3eþ	vera
heimreiðin	nveng	heimreið
okkar	fp1fe	ég
full	lvensf	fullur
af	aþ	af
trjágreinum	nvfþ	trjágrein
sem	ct	sem
enduðu	sfg3fþ	enda
í	aþ	í
brennu	nveþ	brenna
í	aþ	í
gærkveldi	nheþ	gærkveld
.	.	.
Við	fp1fn	ég
ásamt	aþ	ásamt
nágrönnum	nkfþ	nágranni
okkar	fp1fe	ég
kveiktum	sfg1fþ	kveikja
varðeld	nkeo	varðeldur
,	,	,
sátum	sfg1fþ	sitja
og	c	og
spjölluðum	sfg1fþ	spjalla
með	ao	með
gott	lheosf	góður
í	aþ	í
glasi	nheþ	glas
/	/	/
flösku	nveþ	flaska
fram	aa	fram
eftir	aþ	eftir
kvöldi	nheþ	kvöld
.	.	.
Oftast	aae	oft
nær	aa	nær
er	sfg3en	vera
það	fphen	það
ég	fp1en	ég
sem	ct	sem
er	sfg1en	vera
nátthrafninn	nkeng	nátthrafn
en	c	en
ég	fp1en	ég
gafst	sfm1eþ	gefa
upp	aa	upp
um	ao	um
23	ta	23
leytið	nheog	leyti
.	.	.
Ég	fp1en	ég
vaknaði	sfg1eþ	vakna
við	ao	við
hátt	lheosf	hár
BOMMM	nheo	bomm
um	aa	um
2	ta	2
í	ao	í
nótt	nveo	nótt
,	,	,
dreif	sfg1eþ	drífa
mig	fp1eo	ég
fram	aa	fram
til	ae	til
þess	fphee	það
að	cn	að
taka	sng	taka
á	aa	á
móti	aþ	móti
innbrotsþjófi	nkeþ	innbrotsþjófur
en	c	en
sá	sfg1eþ	sjá
þá	aa	þá
bara	aa	bara
hann	fpkeo	hann
Bert	e	Bert
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
voða	nkee	voði
stoltur	lkensf	stoltur
að	cn	að
hafa	sng	hafa
verið	ssg	vera
svona	aa	svona
lengi	aa	lengi
úti	aa	úti
og	c	og
spurði	sfg3eþ	spyrja
hvort	c	hvort
ég	fp1en	ég
væri	svg1eþ	vera
ekki	aa	ekki
ánægð	lvensf	ánægður
með	ao	með
hann	fpkeo	hann
.	.	.
Ég	fp1en	ég
sagði	sfg1eþ	segja
nei	au	nei
,	,	,
hann	fpken	hann
hefði	svg3eþ	hafa
vakið	ssg	vekja
mig	fp1eo	ég
(	(	(
ég	fp1en	ég
er	sfg1en	vera
ekki	aa	ekki
sú	faven	sá
besta	lvenve	góður
ef	c	ef
ég	fp1en	ég
er	sfg1en	vera
vakin	sþgven	vekja
)	)	)
og	c	og
með	ao	með
það	fpheo	það
dreif	sfg1eþ	drífa
ég	fp1en	ég
mig	fp1eo	ég
aftur	aa	aftur
undir	ao	undir
feld	nkeo	feldur
.	.	.
En	c	en
þetta	fahen	þessi
var	sfg3eþ	vera
ágætt	lhensf	ágætur
allt	fohen	allur
saman	aa	saman
.	.	.
Það	fahen	sá
besta	lhenve	góður
við	ao	við
kvöldið	nheog	kvöld
þó	aa	þó
fannst	sfm3eþ	finna
mér	fp1eþ	ég
fólk	nhen	fólk
kæfði	sfg3eþ	kæfa
mig	fp1eo	ég
ekki	aa	ekki
í	aþ	í
spurningum	nvfþ	spurning
um	ao	um
mitt	feheo	minn
heimaland	nheo	heimaland
..	..	..
mér	fp1eþ	ég
fannst	sfm3eþ	finna
ég	fp1en	ég
frekar	aam	frekar
vera	sng	vera
ein	tfven	einn
af	aþ	af
hópnum	nkeþg	hópur
frekar	aam	frekar
en	c	en
ég	fp1en	ég
,	,	,
útlendingurinn	nkeng	útlendingur
,	,	,
á	aa	á
móti	aþ	móti
öllum	fokfþ	allur
þeim	fakfþ	sá
innfæddu	lkfþvf	innfæddur
.	.	.
Það	fphen	það
er	sfg3en	vera
stundum	aa	stundum
voða	nkee	voði
gott	lhensf	góður
að	cn	að
falla	sng	falla
í	ao	í
hópinn	nkeog	hópur
.	.	.
Stundum	aa	stundum
er	sfg1en	vera
ég	fp1en	ég
komin	sþgven	koma
með	ao	með
svo	aa	svo
yfrið	aa	yfrið
nóg	lheosf	nógur
af	aþ	af
spurningum	nvfþ	spurning
um	aa	um
hvaðan	aa	hvaðan
ég	fp1en	ég
sé	svg1en	vera
,	,	,
af	aþ	af
hverju	fsheþ	hver
enski	lkenvf	enskur
hreimurinn	nkeng	hreimur
minn	feken	minn
sé	svg3en	vera
eins	aa	eins
og	c	og
hann	fpken	hann
er	sfg3en	vera
o.s.frv	as	o.s.frv
að	c	að
ég	fp1en	ég
á	sfg1en	eiga
það	fpheo	það
til	aa	til
að	cn	að
svara	sng	svara
fólki	nheþ	fólk
með	ao	með
að	c	að
þau	fphfn	það
hljóti	svg3fn	hljóta
að	cn	að
heyra	sng	heyra
að	c	að
hreimurinn	nkeng	hreimur
minn	feken	minn
sé	svg3en	vera
úr	aþ	úr
suðurríkjum	nhfþ	suðurríki
Bandaríkjanna	nhfegs	Bandaríki
,	,	,
t.a.m.	as	t.a.m.
Alabama	e	Alabama
:	:	:
)	)	)
Ég	fp1en	ég
veit	sfg1en	vita
ósköp	nhfn	ósköp
vel	aa	vel
að	c	að
fólk	nhen	fólk
vill	sfg3en	vilja
vera	sng	vera
kurteist	lhensf	kurteis
og	c	og
sýna	sng	sýna
mér	fp1eþ	ég
áhuga	nkeo	áhugi
en	c	en
stundum	aa	stundum
er	sfg3en	vera
komið	sþghen	koma
gott	lhensf	góður
.	.	.
En	c	en
ALLTAF	aa	alltaf
svara	sfg1en	svara
ég	fp1en	ég
með	aþ	með
brosi	nheþ	bros
á	aþ	á
vör	nveþ	vör
svo	aa	svo
þið	fp2fn	þú
getið	sfg2fn	geta
ekki	aa	ekki
sagt	ssg	segja
að	c	að
ég	fp1en	ég
sé	svg1en	vera
dóni	nken	dóni
:	:	:
)	)	)
Það	fphen	það
gekk	sfg3eþ	ganga
vel	aa	vel
í	aþ	í
vinnunni	nveþg	vinna
í	aa	í
gær	aa	gær
.	.	.
Takk	au	takk
fyrir	ao	fyrir
að	cn	að
hugsa	sng	hugsa
til	ae	til
mín	fp1ee	ég
.	.	.
Ég	fp1en	ég
átti	sfg1eþ	eiga
að	cn	að
vera	sng	vera
í	ao	í
klukkutíma	nkfo	klukkutími
en	c	en
varð	sfg1eþ	verða
í	ao	í
þrjá	tfkfo	þrír
.	.	.
Ég	fp1en	ég
elti	sfg1eþ	elta
tvo	tfkfo	tveir
þjóna	nkfo	þjónn
eins	aa	eins
og	c	og
lítill	lkensf	lítill
hvolpur	nken	hvolpur
og	c	og
reyndi	sfg1eþ	reyna
að	cn	að
taka	sng	taka
allt	foheo	allur
inn	aa	inn
.	.	.
Þó	aa	þó
ég	fp1en	ég
tali	svg1en	tala
ensku	nveo	enska
allan	fokeo	allur
daginn	nkeog	dagur
,	,	,
alla	fokfo	allur
daga	nkfo	dagur
,	,	,
þá	aa	þá
var	sfg3eþ	vera
svolítið	aa	svolítið
annað	fohen	annar
