þ.e.	as	þ.e.
hvort	c	hvort
þeir	fakfn	sá
sem	ct	sem
fara	sfg3fn	fara
eftir	aþ	eftir
lögunum	nhfþg	lag
og	c	og
beita	sfg3fn	beita
þeim	fphfþ	það
ættu	svg3fþ	eiga
,	,	,
þegar	c	þegar
allt	fohen	allur
kemur	sfg3en	koma
til	ae	til
alls	fohee	allur
,	,	,
að	cn	að
fara	sng	fara
eftir	aþ	eftir
þeim	fphfþ	það
og	c	og
beita	sng	beita
þeim	fphfþ	það
með	aþ	með
þeim	fakeþ	sá
hætti	nkeþ	háttur
sem	ct	sem
þeir	fpkfn	hann
gera	sfg3fn	gera
.	.	.
Í	aþ	í
grófum	lkfþsf	grófur
dráttum	nkfþ	dráttur
er	sfg3en	vera
það	fphen	það
þessi	faven	þessi
hugmynd	nven	hugmynd
sem	ct	sem
liggur	sfg3en	liggja
til	ae	til
grundvallar	nkee	grundvöllur
kenningu	nveþ	kenning
vildarréttar	nkee	vildarréttur
(	(	(
e.	as	e.
legal	e	legal
positivism	e	positivism
)	)	)
um	ao	um
lögin	nhfog	lag
.	.	.
Litið	sþghen	líta
er	sfg3en	vera
til	ae	til
þess	fahee	sá
einkennis	nhee	einkenni
laganna	nhfeg	lag
að	c	að
þau	fphfn	það
fela	sfg3fn	fela
í	aþ	í
sér	fphfþ	sig
viðmið	nheo	viðmið
sem	ct	sem
ætlað	sþghen	ætla
er	sfg3en	vera
að	cn	að
hafa	sng	hafa
úrslitaáhrif	nhfo	úrslitaáhrif
á	ao	á
mannlega	lveosf	mannlegur
háttsemi	nveo	háttsemi
,	,	,
án	ae	án
tillits	nhee	tillit
þess	fphee	það
hvort	c	hvort
rökin	nhfng	rök
fyrir	aþ	fyrir
tilteknum	lvfþsf	tiltekinn
lagareglum	nvfþ	lagaregla
séu	svg3fn	vera
talin	sþghfn	telja
góð	lhfnsf	góður
eða	c	eða
slæm	lhfnsf	slæmur
.	.	.
Lögin	nhfng	lag
gera	sfg3fn	gera
kröfu	nveo	krafa
um	ao	um
hlýðni	nveo	hlýðni
manna	nkfe	maður
án	ae	án
tillits	nhee	tillit
til	ae	til
trúar	nvee	trú
þeirrar	favee	sá
eða	c	eða
siðferðis	nhee	siðferði
.	.	.
Grundvallarhlutverk	nhen	grundvallarhlutverk
(	(	(
eða	c	eða
gildi	nhen	gildi
)	)	)
laganna	nhfeg	lag
í	aþ	í
þessum	fakeþ	þessi
skilningi	nkeþ	skilningur
er	sfg3en	vera
einfaldlega	aa	einfaldlega
að	cn	að
hafa	sng	hafa
(	(	(
úrslita	nhfe	úrslit
)	)	)
áhrif	nhfo	áhrif
á	ao	á
háttsemi	nveo	háttsemi
manna	nkfe	maður
.	.	.
Hitt	fahen	hinn
er	sfg3en	vera
svo	aa	svo
annað	fohen	annar
mál	nhen	mál
hvort	c	hvort
við	fp1fn	ég
ættum	svg1fþ	eiga
(	(	(
siðferðilega	aa	siðferðilega
)	)	)
að	cn	að
fara	sng	fara
að	aþ	að
lögunum	nhfþg	lag
eða	c	eða
hvort	c	hvort
viðmið	nhfn	viðmið
sem	ct	sem
þessi	fahfn	þessi
hafi	svg3fn	hafa
siðferðilegt	lheosf	siðferðilegur
gildi	nheo	gildi
sem	ct	sem
slík	fbhfn	slíkur
.	.	.
Þessar	favfn	þessi
spurningar	nvfn	spurning
falla	sfg3fn	falla
utan	ae	utan
rannsóknar	nvee	rannsókn
vildarréttar	nkee	vildarréttur
á	aþ	á
lögunum	nhfþg	lag
.	.	.
Engin	foven	enginn
fræðileg	lvensf	fræðilegur
afstaða	nven	afstaða
er	sfg3en	vera
þannig	aa	þannig
tekin	sþgven	taka
til	ae	til
þess	fphee	það
hvort	c	hvort
lögin	nhfng	lag
séu	svg3fn	vera
góð	lhfnsf	góður
eða	c	eða
slæm	lhfnsf	slæmur
eða	c	eða
hvort	c	hvort
rétt	lhensf	réttur
sé	svg3en	vera
að	cn	að
virða	sng	virða
þau	fphfo	það
í	aþ	í
framkvæmd	nveþ	framkvæmd
.	.	.
Telja	sng	telja
verður	sfg3en	verða
það	fpheo	það
helsta	lheove	heldri
kennimark	nheo	kennimark
kenninga	nvfe	kenning
vildarréttar	nkee	vildarréttur
20.	ta	20.
aldar	nvee	öld
að	c	að
leitast	sþmhen	leita
er	sfg3en	vera
við	aa	við
afmarka	sng	afmarka
lagahugtakið	nheog	lagahugtak
án	ae	án
þess	fphee	það
að	c	að
tekin	sþgven	taka
sé	svg3en	vera
afstaða	nven	afstaða
til	ae	til
siðferðilegs	lheesf	siðferðilegur
gildis	nhee	gildi
laganna	nhfeg	lag
.	.	.
Þetta	faheo	þessi
má	sfg3en	mega
einnig	aa	einnig
orða	sng	orða
svo	aa	svo
að	c	að
aðeins	aa	aðeins
sé	svg3en	vera
horft	sþghen	horfa
á	ao	á
tæknilegt	lheosf	tæknilegur
gildi	nheo	gildi
þeirra	fphfe	það
,	,	,
þ.e.a.s.	as	þ.e.a.s.
það	fpheo	það
einkenni	nheo	einkenni
þeirra	fphfe	það
að	cn	að
hafa	sng	hafa
áhrif	nhfo	áhrif
á	ao	á
mannlega	lveosf	mannlegur
háttsemi	nveo	háttsemi
(	(	(
án	ae	án
tillits	nhee	tillit
til	ae	til
þess	fphee	það
hvort	c	hvort
þessi	fahfn	þessi
áhrif	nhfn	áhrif
eru	sfg3fn	vera
góð	lhfnsf	góður
eða	c	eða
slæm	lhfnsf	slæmur
)	)	)
.	.	.
Þessi	faven	þessi
aðferð	nven	aðferð
við	ao	við
greiningu	nveo	greining
lagahugtaksins	nheeg	lagahugtak
hefur	sfg3en	hafa
þann	fakeo	sá
yfirlýsta	lkeovf	yfirlýstur
kost	nkeo	kostur
að	c	að
ekki	aa	ekki
er	sfg3en	vera
tekin	sþgven	taka
afstaða	nven	afstaða
til	ae	til
siðferðilegs	lheesf	siðferðilegur
gildismats	nhee	gildismat
sem	ct	sem
ágreiningur	nken	ágreiningur
ríkir	sfg3en	ríkja
um	aa	um
.	.	.
Þótt	c	þótt
vildarréttarfræðingurinn	nkeng	vildarréttarfræðingur
kunni	sfg3eþ	kunna
að	cn	að
hafa	sng	hafa
sína	feveo	sinn
skoðun	nveo	skoðun
á	aþ	á
siðferðilegu	lheþsf	siðferðilegur
gildi	nheþ	gildi
laganna	nhfeg	lag
telur	sfg3en	telja
hann	fpken	hann
því	aa	því
best	aae	vel
að	cn	að
afmarka	sng	afmarka
lagahugtakið	nheog	lagahugtak
án	ae	án
stuðnings	nkee	stuðningur
við	ao	við
þetta	faheo	þessi
mat	nheo	mat
.	.	.
Til	ae	til
grundvallar	nkee	grundvöllur
þeirri	faveþ	sá
skoðun	nveþ	skoðun
liggur	sfg3en	liggja
svo	aa	svo
yfirleitt	aa	yfirleitt
ákveðin	lvensf	ákveðinn
hugmynd	nven	hugmynd
um	ao	um
vísindalega	lveosf	vísindalegur
eða	c	eða
fræðilega	lveosf	fræðilegur
aðferð	nveo	aðferð
og	c	og
að	c	að
siðferðilegt	lhensf	siðferðilegur
mat	nhen	mat
sé	svg3en	vera
til	ae	til
þess	fphee	það
fallið	sþghen	falla
að	cn	að
«	«	«
menga	sng	menga
»	»	»
fræðilegar	lvfosf	fræðilegur
niðurstöður	nvfo	niðurstaða
.	.	.
Ef	c	ef
fallist	sþmhen	falla
er	sfg3en	vera
á	ao	á
þetta	faheo	þessi
eru	sfg3fn	vera
lögin	nhfng	lag
viðmið	nhfn	viðmið
sem	ct	sem
krefjast	sfm3fn	krefja
hlýðni	nvee	hlýðni
án	ae	án
tillits	nhee	tillit
til	ae	til
þeirra	fahfe	sá
raka	nhfe	rök
(	(	(
eða	c	eða
skorts	nkee	skortur
á	aþ	á
rökum	nhfþ	rök
)	)	)
sem	ct	sem
liggja	sfg3fn	liggja
þeim	fphfþ	það
til	ae	til
grundvallar	nkee	grundvöllur
:	:	:
Lög	nhfn	lag
eru	sfg3fn	vera
lög	nhfn	lag
án	ae	án
tillits	nhee	tillit
til	ae	til
gildis	nhee	gildi
eða	c	eða
verðleika	nkfe	verðleiki
þeirra	fphfe	það
.	.	.
Ályktanir	nvfn	ályktun
um	ao	um
gildandi	lhfoof	gildandi
lög	nhfo	lag
hljóta	sfg3fn	hljóta
þá	aa	þá
alltaf	aa	alltaf
að	cn	að
styðjast	snm	styðja
við	ao	við
eitthvað	foheo	einhver
annað	foheo	annar
en	c	en
siðferðilegt	lheosf	siðferðilegur
gildismat	nheo	gildismat
.	.	.
Ef	c	ef
niðurstaða	nven	niðurstaða
styðst	sfm3en	styðja
við	ao	við
siðferðilegt	lheosf	siðferðilegur
gildismat	nheo	gildismat
getur	sfg3en	geta
hún	fpven	hún
ekki	aa	ekki
verið	ssg	vera
lagaleg	lvensf	lagalegur
,	,	,
jafnvel	aa	jafnvel
þótt	c	þótt
hún	fpven	hún
sé	svg3en	vera
kölluð	sþgven	kalla
lagaleg	lvensf	lagalegur
og	c	og
hún	fpven	hún
lögð	sþgven	leggja
til	ae	til
grundvallar	nkee	grundvöllur
sem	c	sem
slík	fbven	slíkur
af	aþ	af
dómstólum	nkfþ	dómstóll
.	.	.
Ályktanir	nvfn	ályktun
um	ao	um
lög	nhfo	lag
hljóta	sfg3fn	hljóta
samkvæmt	aþ	samkvæmt
þessu	faheþ	þessi
ekki	aa	ekki
að	cn	að
vera	sng	vera
háðar	lvfnsf	háður
siðferðilegu	lheþsf	siðferðilegur
gildismati	nheþ	gildismat
heldur	c	heldur
ráðast	snm	ráða
af	aþ	af
einhverju	foheþ	einhver
sem	ct	sem
er	sfg3en	vera
til	aa	til
eða	c	eða
fyrir	aþ	fyrir
hendi	nveþ	hönd
-	-	-
