annarra	fokfe	annar
og	c	og
láta	sng	láta
lesa	sng	lesa
bréfið	nheog	bréf
fyrir	ao	fyrir
sig	fpkeo	sig
,	,	,
þess	fphee	það
vegna	ae	vegna
yrði	svg3eþ	verða
hún	fpven	hún
að	cn	að
velja	sng	velja
orð	nhfo	orð
sín	fehfo	sinn
af	aþ	af
þeim	fakeþ	sá
mun	nkeþ	munur
meiri	lveþvm	mikill
kostgæfni	nveþ	kostgæfni
.	.	.

Hún	fpven	hún
yrði	svg3eþ	verða
að	cn	að
skrifa	sng	skrifa
á	ao	á
sama	fbkeo	samur
hátt	nkeo	háttur
og	c	og
hann	fpken	hann
kunni	sfg3eþ	kunna
að	cn	að
sigla	sng	sigla
;	;	;
milli	ae	milli
skers	nhee	sker
og	c	og
báru	nvee	bára
.	.	.

Nóttin	nveng	nótt
leið	sfg3eþ	líða
hratt	aa	hratt
.	.	.

Það	fphen	það
var	sfg3eþ	vera
ekki	aa	ekki
seinna	aam	seint
vænna	lhenvm	vænn
að	cn	að
hefjast	snm	hefja
handa	nvfe	hönd
.	.	.

Hún	fpven	hún
opnaði	sfg3eþ	opna
blekbyttuna	nveog	blekbytta
á	aa	á
ný	aa	ný
,	,	,
mundaði	sfg3eþ	munda
fjöðurstafinn	nkeog	fjöðurstafur
og	c	og
hóf	sfg3eþ	hefja
bréfið	nheog	bréf
hægt	aa	hægt
og	c	og
hikandi	aa	hikandi
:	:	:
Blessan	nven	blessun
guðs	nkee	guð
föðurs	x	faðir
,	,	,
forlíkan	nven	forlíkan
og	c	og
endurlausn	nven	endurlausn
vors	fekee	vor
herra	nkee	herra
Jesú	nkee-s	Jesús
Kristí	nkee-s	Kristí
,	,	,
huggan	nven	hugga
og	c	og
upplýsing	nven	upplýsing
heilags	lkeesf	heilagur
anda	nkee	andi
sé	svg3en	vera
í	aa	í
,	,	,
með	aa	með
og	c	og
yfir	aþ	yfir
yður	fp2fþ	þér
alla	fokfo	allur
tíma	nkfo	tími
,	,	,
minn	feken	minn
dygðaríki	lkenvf	dygðaríkur
húsbóndi	nken	húsbóndi
og	c	og
ektaherra	nken	ektaherra
,	,	,
Eyjólfur	nken-s	Eyjólfur
Sölmundsson	nken-s	Sölmundsson
!	!	!

Henni	fpveþ	hún
hafði	sfg3eþ	hafa
tekist	ssm	taka
að	cn	að
ávarpa	sng	ávarpa
hann	fpkeo	hann
sem	c	sem
skyldi	svg3eþ	skulu
.	.	.

Ástsemi	nven	ástsemi
guðs	nkee	guð
vors	fekee	vor
annist	svm3en	anna
yður	fp2fo	þér
á	aþ	á
sál	nveþ	sál
og	c	og
lífi	nheþ	líf
!	!	!

Heilsan	nveng	heilsa
í	aþ	í
guði	nkeþ	guð
sé	svg3en	vera
með	aþ	með
yður	fp2fþ	þér
alla	fokfo	allur
tíma	nkfo	tími
!	!	!

Ég	fp1en	ég
minnist	sfm1en	minna
við	ao	við
yðar	fp2fe	þér
hendur	nvfo	hönd
með	aþ	með
minni	feveþ	minn
ást	nveþ	ást
og	c	og
langvarandi	lveþof	langvarandi
elsku	nveþ	elska
.	.	.

Hún	fpven	hún
var	sfg3eþ	vera
búin	lvensf	búinn
að	cn	að
framkalla	sng	framkalla
mynd	nveo	mynd
hans	fpkee	hann
í	aþ	í
huga	nkeþ	hugi
sér	fpkeþ	sig
og	c	og
augu	nhfn	auga
hennar	fpvee	hún
flóðu	sfg3fþ	flóa
enn	aa	enn
á	aa	á
ný	aa	ný
í	aþ	í
tárum	nhfþ	tár
.	.	.

Hún	fpven	hún
varð	sfg3eþ	verða
að	cn	að
gæta	sng	gæta
þess	fphee	það
að	c	að
tárin	nhfng	tár
hryndu	svg3fþ	hrynja
ekki	aa	ekki
niður	aa	niður
á	ao	á
pappírinn	nkeog	pappír
og	c	og
leystu	sfg3fþ	leysa
upp	aa	upp
bænir	nvfo	bæn
hennar	fpvee	hún
og	c	og
ástarjátningu	nveo	ástarjátning
.	.	.

Hún	fpven	hún
þráði	sfg3eþ	þrá
svo	aa	svo
heitt	aa	heitt
hlýjar	lvfosf	hlýr
og	c	og
hrjúfar	lvfosf	hrjúfur
hendur	nvfo	hönd
hans	fpkee	hann
.	.	.

Hún	fpven	hún
gat	sfg3eþ	geta
ekki	aa	ekki
hætt	ssg	hætta
að	cn	að
biðja	sng	biðja
honum	fpkeþ	hann
blessunar	nvee	blessun
og	c	og
bætti	sfg3eþ	bæta
enn	aa	enn
við	aþ	við
fyrirbænum	nvfþ	fyrirbæn
.	.	.

Ávarpið	nheng	ávarp
náði	sfg3eþ	ná
yfir	ao	yfir
hálfa	lveosf	hálfur
fyrstu	lveove	fyrstur
síðuna	nveog	síða
áður	aa	áður
en	c	en
hún	fpven	hún
sá	sfg3eþ	sjá
að	c	að
hún	fpven	hún
yrði	svg3eþ	verða
að	cn	að
halda	sng	halda
aftur	aa	aftur
af	aþ	af
sér	fpveþ	sig
og	c	og
fara	sng	fara
sparlega	aa	sparlega
með	ao	með
pappírinn	nkeog	pappír
.	.	.

Hún	fpven	hún
dýfði	sfg3eþ	dýfa
fjaðurpennanum	nkeþg	fjaðurpenni
aftur	aa	aftur
í	ao	í
blekið	nheog	blek
og	c	og
velti	sfg3eþ	velta
því	fpheþ	það
fyrir	aþ	fyrir
sér	fpveþ	sig
hvað	fsheo	hver
maður	nken	maður
hennar	fpvee	hún
væri	svg3eþ	vera
að	cn	að
gera	sng	gera
einmitt	aa	einmitt
á	aþ	á
þessari	faveþ	þessi
stundu	nveþ	stund
.	.	.

Stæði	svg3eþ	standa
ekki	aa	ekki
