spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
eiturlyfjahrings	nkee	eiturlyfjahringur
.	.	.
Vonast	sþmhen	vona
er	sfg3en	vera
til	ae	til
þess	fphee	það
að	c	að
Venesúelamennirnir	nkfngs	Venesúelamaður
muni	svg3fn	munu
leiða	sng	leiða
lögregluna	nveog	lögregla
á	ao	á
spor	nhfo	spor
höfuðpaura	nkfe	höfuðpaur
glæpahringsins	nkeeg	glæpahringur
.	.	.
«	«	«
Þetta	fahen	þessi
er	sfg3en	vera
nákvæmlega	aa	nákvæmlega
sama	fbhen	sami
og	c	og
ef	c	ef
það	fphen	það
kemur	sfg3en	koma
hingað	aa	hingað
Ítali	nken-s	Ítali
og	c	og
keyrir	sfg3en	keyra
bíl	nkeo	bíll
,	,	,
jafnvel	aa	jafnvel
fullur	lkensf	fullur
líka	aa	líka
,	,	,
og	c	og
er	sfg3en	vera
ökuskírteinislaus	lkensf	ökuskírteinislaus
.	.	.
»	»	»
Sýslumaður	nken	sýslumaður
getur	sfg3en	geta
vísað	ssg	vísa
leyfislausum	lkfþsf	leyfislaus
úr	aþ	úr
landi	nheþ	land
Formaður	nken	formaður
Rafiðnaðarsambandsins	nheegs	rafiðnaðarsamband
er	sfg3en	vera
mjög	aa	mjög
ósáttur	lkensf	ósáttur
við	ao	við
að	c	að
ekki	aa	ekki
hafi	svg3en	hafa
verið	ssg	vera
sótt	sþghen	sækja
um	ao	um
staðfestingu	nveo	staðfesting
á	aþ	á
starfsréttindum	nhfþ	starfsréttindi
hjá	aþ	hjá
verkafólki	nheþ	verkafólk
við	ao	við
Kárahnjúka	nkfo-s	Kárahnjúkar
.	.	.
Hann	fpken	hann
segir	sfg3en	segja
að	c	að
sýslumaður	nken	sýslumaður
geti	svg3en	geta
vikið	ssg	víkja
þeim	fpkfþ	hann
úr	aþ	úr
landi	nheþ	land
sem	ct	sem
starfa	sfg3fn	starfa
án	ae	án
slíkrar	fbvee	slíkur
staðfestingar	nvee	staðfesting
.	.	.
GUÐMUNDUR	nken-s	Guðmundur
GUNNARSSON	nken-s	Gunnarsson
Formaður	nken	formaður
Rafiðnaðarsambandsins	nheegs	rafiðnaðarsamband
segir	sfg3en	segja
það	fpheo	það
hlutverk	nheo	hlutverk
sýslumanns	nkee	sýslumaður
að	cn	að
sjá	sng	sjá
til	ae	til
þess	fphee	það
að	c	að
réttindi	nhfn	réttindi
manna	nkfe	maður
séu	svg3fn	vera
í	aþ	í
lagi	nheþ	lag
.	.	.
KÁRAHNJÚKAVIRKJUN	nven-s	Kárahnjúkavirkjun
Guðmundur	nken-s	Guðmundur
Gunnarsson	nken-s	Gunnarsson
,	,	,
formaður	nken	formaður
Rafiðnaðarsambandsins	nheegs	rafiðnaðarsamband
,	,	,
segir	sfg3en	segja
að	c	að
íslensk	lhfnsf	íslenskur
verktakafyrirtæki	nhfn	verktakafyrirtæki
hafi	svg3fn	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
samkeppnisstöðu	nveþ	samkeppnisstaða
sinni	feveþ	sinn
ef	c	ef
starfsmenn	nkfn	starfsmaður
við	ao	við
Kárahnjúka	nkfo-s	Kárahnjúkar
hljóta	sfg3fn	hljóta
verri	lhfovm	verri
kjör	nhfo	kjör
en	c	en
almennt	aa	almennt
á	aþ	á
íslenskum	lkeþsf	íslenskur
vinnumarkaði	nkeþ	vinnumarkaður
.	.	.
ÉG	fp1en	ég
VIL	sfg1en	vilja
SKILNAÐ	nkeo	skilnaður
!	!	!
Yfirvöld	nhfn	yfirvald
í	aþ	í
Malasíu	nveþ-s	Malasía
ætla	sfg3fn	ætla
að	cn	að
reyna	sng	reyna
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
að	c	að
eiginmenn	nkfn	eiginmaður
skilji	svg3fn	skilja
við	ao	við
konur	nvfo	kona
sínar	fevfo	sinn
með	aþ	með
því	fpheþ	það
að	cn	að
senda	sng	senda
þeim	fpvfþ	hún
SMS-skilaboð	nhfo-s	SMS-skilaboð
.	.	.
Eiginmenn	nkfn	eiginmaður
ákærðir	sþgkfn	ákæra
:	:	:
Skilnaður	nken	skilnaður
með	aþ	með
SMS	as	SMS
Yfirvöld	nhfn	yfirvald
í	aþ	í
Malasíu	nveþ-s	Malasía
ætla	sfg3fn	ætla
að	cn	að
ákæra	sng	ákæra
karlmenn	nkfo	karlmaður
sem	ct	sem
reyna	sfg3fn	reyna
að	cn	að
skilja	sng	skilja
við	ao	við
eiginkonur	nvfo	eiginkona
sínar	fevfo	sinn
með	aþ	með
því	fpheþ	það
að	cn	að
senda	sng	senda
þeim	fpvfþ	hún
SMS-skilaboð	nhfo-s	SMS-skilaboð
,	,	,
símbréf	nhfo	símbréf
eða	c	eða
tölvupóst	nkeo	tölvupóstur
.	.	.
Samkvæmt	aþ	samkvæmt
íslömskum	lhfþsf	íslamskur
lögum	nhfþ	lag
getur	sfg3en	geta
karlmaður	nken	karlmaður
fengið	ssg	fá
skilnað	nkeo	skilnaður
frá	aþ	frá
konu	nveþ	kona
sinni	feveþ	sinn
með	aþ	með
því	fpheþ	það
einu	lheþsf	einn
að	cn	að
segja	sng	segja
henni	fpveþ	hún
hug	nkeo	hugur
sinn	fekeo	sinn
og	c	og
fá	sng	fá
ákvörðunina	nveog	ákvörðun
staðfesta	sþgveo	staðfesta
af	aþ	af
klerki	nkeþ	klerkur
.	.	.
Að	aþ	að
gefnu	lheþsf	gefinn
tilefni	nheþ	tilefni
hefur	sfg3en	hafa
ríkisstjórnin	nveng	ríkisstjórn
nú	aa	nú
fyrirskipað	ssg	fyrirskipa
að	c	að
þeir	fakfn	sá
sem	ct	sem
senda	sfg3fn	senda
konum	nvfþ	kona
sínum	fevfþ	sinn
SMS-skilaboð	nhfo-s	SMS-skilaboð
eða	c	eða
tölvupóst	nkeo	tölvupóstur
til	ae	til
þess	fphee	það
að	cn	að
lýsa	sng	lýsa
yfir	aa	yfir
skilnaði	nkeþ	skilnaður
skuli	svg3fn	skulu
dregnir	sþgkfn	draga
fyrir	ao	fyrir
rétt	nkeo	réttur
.	.	.
Verði	svg3fn	verða
þeir	fpkfn	hann
fundnir	sþgkfn	finna
sekir	lkfnsf	sekur
eiga	sfg3fn	eiga
þeir	fpkfn	hann
yfir	aþ	yfir
höfði	nheþ	höfuð
sér	fpkfþ	sig
allt	foheo	allur
að	aa	að
sex	tfkfe	sex
mánaða	nkfe	mánuður
fangelsi	nheo	fangelsi
og	c	og
yfir	aa	yfir
20.000	ta	20.000
króna	nvfe	króna
sekt	nveo	sekt
.	.	.
Samstarfsmaður	nken	samstarfsmaður
Kellys	e	Kellys
:	:	:
Ýkjur	nvfn	ýkja
í	aþ	í
skýrslum	nvfþ	skýrsla
stjórnarinnar	nveeg	stjórn
Sérfræðingar	nkfn	sérfræðingur
bresku	lveevf	breskur
leyniþjónustunnar	nveeg	leyniþjónusta
höfðu	sfg3fþ	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
því	fpheþ	það
að	c	að
ríkisstjórnin	nveng	ríkisstjórn
hefði	svg3eþ	hafa
ýkt	ssg	ýkja
þá	faveo	sá
ógn	nveo	ógn
sem	ct	sem
heimsbyggðinni	nveþg	heimsbyggð
stafaði	svg3eþ	stafa
af	aþ	af
Írak	nheþ-s	Írak
í	aþ	í
skýrslu	nveþ	skýrsla
sinni	feveþ	sinn
um	ao	um
vopnaeign	nveo	vopnaeign
Íraka	nkfe-s	Íraki
,	,	,
að	c	að
sögn	nveþ	sögn
sérfræðings	nkee	sérfræðingur
sem	ct	sem
starfaði	sfg3eþ	starfa
hjá	aþ	hjá
varnarmálaráðuneytinu	nheþg	varnarmálaráðuneyti
.	.	.
Brian	e	Brian
Jones	e	Jones
,	,	,
sem	ct	sem
bar	sfg3eþ	bera
vitni	nheo	vitni
í	aþ	í
tengslum	nhfþ	tengsl
við	ao	við
rannsókn	nveo	rannsókn
