maður	nken	maður
við	aþ	við
öðruvísi	lheþof	öðruvísi
fólki	nheþ	fólk
og	c	og
öðrum	fokfþ	annar
lifnaðarháttum	nkfþ	lifnaðarháttur
,	,	,
en	c	en
Íslendingar	nkfn-s	Íslendingur
sem	ct	sem
líkjast	sfm3fn	líkja
okkur	fp1fþ	ég
á	ao	á
mjög	aa	mjög
margan	lkeosf	margur
hátt	nkeo	háttur
lifa	sfg3fn	lifa
allt	fohen	allur
öðruvísi	aa	öðruvísi
lífi	nheþ	líf
en	c	en
við	fp1fn	ég
,	,	,
segir	sfg3en	segja
hún	fpven	hún
.	.	.

-En	c	en
hvað	fshen	hver
finnst	sfm3en	finna
þér	fp2eþ	þú
um	ao	um
fínu	lhfovf	fínn
hráefnin	nhfog	hráefni
okkar	fp1fe	ég
?	?	?

Þau	fphfn	það
eru	sfg3fn	vera
mjög	aa	mjög
fín	lhfnsf	fínn
,	,	,
en	c	en
þið	fp2fn	þú
farið	sfg2fn	fara
bara	aa	bara
alls	fohee	allur
ekki	aa	ekki
nógu	lheþsf	nógur
vel	aa	vel
með	ao	með
þau	fphfo	það
.	.	.

Það	fphen	það
er	sfg3en	vera
bara	aa	bara
næstum	aa	næstum
ómögulegt	lhensf	ómögulegur
að	cn	að
fá	sng	fá
eitthvað	foheo	einhver
ferskt	lheosf	ferskur
,	,	,
allt	fohen	allur
er	sfg3en	vera
frosið	lhensf	frosinn
.	.	.

Að	aþ	að
því	faheþ	sá
leytinu	nheþg	leyti
til	aa	til
lifið	sfg2fn	lifa
þið	fp2fn	þú
enn	aa	enn
í	aþ	í
gamla	lkeþvf	gamall
tímanum	nkeþg	tími
,	,	,
þegar	c	þegar
þurfti	sfg3eþ	þurfa
að	cn	að
varðveita	sng	varðveita
hráefnin	nhfog	hráefni
lengi	aa	lengi
og	c	og
með	aþ	með
öllum	fovfþ	allur
mögulegum	lvfþsf	mögulegur
aðferðum	nvfþ	aðferð
.	.	.

Fyrst	aae	fyrr
þegar	c	þegar
ég	fp1en	ég
kom	sfg1eþ	koma
