slíkan	fbkeo	slíkur
vin	nkeo	vinur
.	.	.
Jafnvel	aa	jafnvel
þótt	c	þótt
við	fp1fn	ég
höfum	svg1fn	hafa
lengi	aa	lengi
vitað	ssg	vita
að	aþ	að
hverju	fsheþ	hver
dró	sfg3eþ	draga
þá	aa	þá
er	sfg3en	vera
samt	aa	samt
erfitt	lhensf	erfiður
að	cn	að
kyngja	sng	kyngja
því	fpheþ	það
að	c	að
horfinn	sþgken	hverfa
sé	svg3en	vera
hláturinn	nkeng	hlátur
hennar	fpvee	hún
,	,	,
brosið	nheng	bros
og	c	og
hlýjan	nveng	hlýja
.	.	.
En	c	en
við	fp1fn	ég
trúum	sfg1fn	trúa
því	fpheþ	það
að	c	að
líf	nhen	líf
sé	svg3en	vera
handan	ae	handan
jarðvistar	nvee	jarðvist
og	c	og
að	c	að
leiðir	nvfn	leið
okkar	fp1fe	ég
muni	svg3fn	munu
liggja	sng	liggja
saman	aa	saman
aftur	aa	aftur
og	c	og
yndislegu	lhfnvf	yndislegur
kynnin	nhfng	kynni
okkar	fp1fe	ég
endurnýjuð	sþghfn	endurnýja
.	.	.
Þess	fphee	það
vegna	ae	vegna
kjósum	sfg1fn	kjósa
við	fp1fn	ég
að	cn	að
vísa	sng	vísa
kveðjuorðum	nhfþ	kveðjuorð
okkar	fp1fe	ég
beint	aa	beint
til	ae	til
þín	fp2ee	þú
,	,	,
Lilja	nven-s	Lilja
:	:	:
Það	fphen	það
voru	sfg3fþ	vera
forréttindi	nhfn	forréttindi
okkar	fp1fe	ég
að	cn	að
fá	sng	fá
að	cn	að
kynnast	snm	kynna
þér	fp2eþ	þú
og	c	og
með	aþ	með
fátæklegum	lhfþsf	fátæklegur
orðum	nhfþ	orð
viljum	sfg1fn	vilja
við	fp1fn	ég
þakka	sng	þakka
þér	fp2eþ	þú
þær	favfo	sá
yndislegu	lvfovf	yndislegur
stundir	nvfo	stund
sem	ct	sem
við	fp1fn	ég
höfum	sfg1fn	hafa
átt	ssg	eiga
með	aþ	með
þér	fp2eþ	þú
.	.	.
Við	fp1fn	ég
trúum	sfg1fn	trúa
því	fpheþ	það
að	c	að
sál	nven	sál
þín	feven	þinn
gisti	svg3en	gista
nú	aa	nú
bjartari	lkfovm	bjartur
heima	nkfo	heimur
og	c	og
þó	aa	þó
við	fp1fn	ég
söknum	svg3fn	sakna
birtunnar	nveeg	birta
sem	ct	sem
alltaf	aa	alltaf
stafaði	sfg3eþ	stafa
frá	aþ	frá
þér	fp2eþ	þú
þá	aa	þá
vitum	sfg1fn	vita
við	fp1fn	ég
að	c	að
enn	aa	enn
geislar	sfg3en	geisla
sú	faven	sá
birta	nven	birta
í	aþ	í
öðrum	fokfþ	annar
heimum	nkfþ	heimur
.	.	.
Ef	c	ef
til	aa	til
er	sfg3en	vera
leið	nven	leið
fyrir	ao	fyrir
það	faheo	sá
ljós	nheo	ljós
inn	aa	inn
til	ae	til
okkar	fp1fe	ég
heima	aa	heima
þá	aa	þá
munt	sfg2en	munu
þú	fp2en	þú
í	aþ	í
örlæti	nheþ	örlæti
sálar	nvee	sál
þinnar	fevee	þinn
finna	sng	finna
þá	faveo	sá
braut	nveo	braut
og	c	og
hjörtu	nhfn	hjarta
okkar	fp1fe	ég
allra	fohfe	allur
munu	sfg3fn	munu
snortin	sþghfn	snerta
verða	sng	verða
.	.	.
Þakka	sfg1en	þakka
þér	fp2eþ	þú
fyrir	ao	fyrir
þá	fakfo	sá
stórkostlegu	lkfovf	stórkostlegur
geisla	nkfo	geisli
sem	ct	sem
þú	fp2en	þú
stráðir	sfg2eþ	strá
inn	aa	inn
í	ao	í
veröldina	nveog	veröld
í	aa	í
gegnum	ao	gegnum
líf	nheo	líf
þitt	feheo	þinn
okkar	fp1fe	ég
á	aa	á
meðal	ae	meðal
.	.	.
Við	fp1fn	ég
vermum	sfg1fn	verma
okkur	fp1fo	ég
við	ao	við
ljúfar	lvfosf	ljúfur
minningar	nvfo	minning
um	ao	um
kæran	lkeosf	kær
vin	nkeo	vinur
og	c	og
sendum	sfg1fþ	senda
Páli	nkeþ-s	Páll
hugheilar	lvfosf	hugheill
samúðarkveðjur	nvfo	samúðarkveðja
.	.	.
Elsku	nvee	elska
vinur	nken	vinur
,	,	,
megi	svg3en	mega
Guð	nken-s	Guð
vera	sng	vera
þér	fp2eþ	þú
og	c	og
fjölskyldu	nveþ	fjölskylda
þinni	feveþ	þinn
styrkur	nken	styrkur
í	aþ	í
missi	nkeþ	missir
ykkar	fp2fe	þú
.	.	.
Félagarnir	nkfng	félagi
í	aþ	í
Hringnum	nkeþgs	Hringur
.	.	.
Elsku	nvee	elska
góða	lvenvf	góður
Lilja	nven-s	Lilja
mín	feven	minn
.	.	.
Við	fp1fn	ég
hittumst	sfm1fþ	hitta
fyrst	aae	fyrr
fyrir	aþ	fyrir
52	ta	52
árum	nhfþ	ár
.	.	.
Ég	fp1en	ég
var	sfg1eþ	vera
14	ta	14
ára	nhfe	ár
og	c	og
þú	fp2en	þú
15	ta	15
.	.	.
Mér	fp1eþ	ég
þótti	sfg3eþ	þykja
strax	aa	strax
svo	aa	svo
vænt	lhensf	vænn
um	ao	um
þig	fp2eo	þú
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
svo	aa	svo
glæsileg	lvensf	glæsilegur
stúlka	nven	stúlka
