listamaðurinn	nkeng	listamaður
sem	ct	sem
skapaði	sfg3eþ	skapa
þetta	faheo	þessi
verk	nheo	verk
,	,	,
sem	ct	sem
hann	fpken	hann
kallar	sfg3en	kalla
Sæhest	nkeo-s	Sæhestur
.	.	.

Verkið	nheng	verk
stendur	sfg3en	standa
ásamt	aþ	ásamt
mörgum	lhfþsf	margur
fleiri	lhfþvm	margur
á	aþ	á
Cottesloe-ströndinni	nveþgs	Cottesloeströnd
við	ao	við
Perth	e	Perth
,	,	,
en	c	en
í	ao	í
dag	nkeo	dagur
verður	sfg3en	verða
opnuð	sþgven	opna
þar	aa	þar
sýningin	nveng	sýning
Höggmyndir	nvfn-s	Höggmynd
við	ao	við
hafið	nheog	haf
.	.	.

Um	ao	um
þessar	favfo	þessi
mundir	nvfo	mund
haustar	sfg3en	hausta
að	aa	að
hjá	aþ	hjá
andfætlingum	nkfþ	andfætlingur
okkar	fp1fe	ég
syðra	lheovm	syðri
.	.	.

Margit	nven-s	Margit
Elva	nven-s	Elva
Einarsdóttir	nven-s	Einarsdóttir
fæddist	sfm3eþ	fæða
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
1963	ta	1963
.	.	.

Hún	fpven	hún
lauk	sfg3eþ	ljúka
stúdentsprófi	nheþ	stúdentspróf
frá	aþ	frá
Menntaskólanum	nkeþgs	Menntaskóli
við	ao	við
Hamrahlíð	nveo-s	Hamrahlíð
1983	ta	1983
og	c	og
BS	as	BS
í	aþ	í
fjölmiðlafræði	nveþ	fjölmiðlafræði
frá	aþ	frá
Ohio	e	Ohio
University	e	University
1990	ta	1990
.	.	.

Margit	nven-s	Margit
hefur	sfg3en	hafa
starfað	ssg	starfa
við	ao	við
markaðs-	nhfo	markaðsmál
,	,	,
auglýsinga-	nhfo	auglýsingamál
og	c	og
kynningarmál	nhfo	kynningarmál
frá	aþ	frá
1990	ta	1990
.	.	.

Frá	aþ	frá
2005	ta	2005
hefur	sfg3en	hafa
Margit	nven-s	Margit
verið	ssg	vera
verkefnastjóri	nken	verkefnastjóri
hjá	aþ	hjá
AP-almannatengslum	nhfþ-s	AP-almannatengsl
ehf.	as	ehf.

Margit	nven-s	Margit
er	sfg3en	vera
gift	lvensf	giftur
Guðmundi	nkeþ-s	Guðmundur
Emil	nkeþ-s	Emil
Jónssyni	nkeþ-s	Jónsson
matreiðslumeistara	nkeþ	matreiðslumeistari
og	c	og
eiga	sfg3fn	eiga
þau	fphfn	það
tvo	tfkfo	tveir
syni	nkfo	sonur
.	.	.

Guðmundur	nken-s	Guðmundur
á	sfg3en	eiga
þrjú	tfhfo	þrír
börn	nhfo	barn
frá	aþ	frá
fyrra	lheþvm	fyrri
hjónabandi	nheþ	hjónaband
.	.	.

Margit	nven-s	Margit
Elva	nven-s	Elva
Einarsdóttir	nven-s	Einarsdóttir
fæddist	sfm3eþ	fæða
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
1963	ta	1963
.	.	.

Hún	fpven	hún
lauk	sfg3eþ	ljúka
stúdentsprófi	nheþ	stúdentspróf
frá	aþ	frá
Menntaskólanum	nkeþgs	Menntaskóli
við	ao	við
Hamrahlíð	nveo-s	Hamrahlíð
1983	ta	1983
og	c	og
BS	as	BS
í	aþ	í
fjölmiðlafræði	nveþ	fjölmiðlafræði
frá	aþ	frá
Ohio	e	Ohio
University	e	University
1990	ta	1990
.	.	.

Margit	nven-s	Margit
hefur	sfg3en	hafa
starfað	ssg	starfa
við	ao	við
markaðs-	nhfo	markaðsmál
,	,	,
auglýsinga-	nhfo	auglýsingamál
og	c	og
kynningarmál	nhfo	kynningarmál
frá	aþ	frá
1990	ta	1990
.	.	.

Frá	aþ	frá
2005	ta	2005
hefur	sfg3en	hafa
Margit	nven-s	Margit
