mennskra	lvfesf	mennskur
tilfinninga	nvfe	tilfinning
.	.	.

Það	fphen	það
er	sfg3en	vera
ótrúlegra	lhenvm	ótrúlegur
en	c	en
orð	nhfn	orð
fá	sfg3fn	fá
lýst	ssg	lýsa
að	cn	að
hugsa	sng	hugsa
tíu	tfhfo	tíu
ár	nhfo	ár
aftur	aa	aftur
í	ao	í
tímann	nkeog	tími
.	.	.

Þá	aa	þá
var	sfg3eþ	vera
fyrsta	lvenve	fyrstur
opinbera	lvenvf	opinber
ganga	nven	ganga
samkynhneigðra	lkfesf	samkynhneigður
farin	sþgven	fara
um	ao	um
götur	nvfo	gata
Reykjavíkurborgar	nvee-s	Reykjavíkurborg
.	.	.

Fyrsta	lvenve	fyrstur
gangan	nveng	ganga
okkar	fp1fe	ég
-	-	-
og	c	og
hún	fpven	hún
taldi	sfg3eþ	telja
aðeins	aa	aðeins
69	ta	69
manns	nkee	maður
sem	ct	sem
þá	aa	þá
þorðu	sfg3fþ	þora
að	cn	að
standa	sng	standa
með	aþ	með
lífi	nheþ	líf
sínu	feheþ	sinn
og	c	og
vera	sng	vera
sýnileg	lhfnsf	sýnilegur
í	aþ	í
íslenskri	lveþsf	íslenskur
dagsbirtu	nveþ	dagsbirta
.	.	.

Deiglan	nvengs	Deigla
tekur	sfg3en	taka
undir	ao	undir
að	c	að
breytingin	nveng	breyting
sé	svg3en	vera
mikil	lvensf	mikill
og	c	og
bendir	sfg3en	benda
á	ao	á
að	c	að
sennilega	aa	sennilega
sé	svg3en	vera
meirihluti	nken	meirihluti
þeirra	fakfe	sá
sem	ct	sem
nú	aa	nú
tekur	sfg3en	taka
þátt	nkeo	þáttur
í	aþ	í
hátíðarhöldunum	nhfþg	hátíðarhald
gagnkynhneigður	lkensf	gagnkynhneigður
.	.	.

Þá	aa	þá
segir	sfg3en	segja
:	:	:

Þeir	fakfn	sá
sem	ct	sem
trúa	sfg3fn	trúa
á	ao	á
einstaklinginn	nkeog	einstaklingur
og	c	og
bera	sng	bera
virðingu	nveo	virðing
fyrir	aþ	fyrir
náunganum	nkeþg	náungi
hljóta	sfg3fn	hljóta
að	cn	að
viðurkenna	sng	viðurkenna
rétt	nkeo	réttur
annarra	fokfe	annar
til	ae	til
að	cn	að
höfða	sng	höfða
lífi	nheþ	líf
sínu	feheþ	sinn
eftir	aþ	eftir
eigin	lvfþof	eigin
tilfinningum	nvfþ	tilfinning
.	.	.

Það	fphen	það
er	sfg3en	vera
eitthvað	fohen	einhver
ankannalegt	lhensf	ankannalegur
við	ao	við
þann	fakeo	sá
hugsunarhátt	nkeo	hugsunarháttur
að	cn	að
amast	snm	ama
sérstaklega	aa	sérstaklega
við	aþ	við
því	fpheþ	það
að	c	að
hópar	nkfn	hópur
fólks	nhee	fólk
hafi	svg3fn	hafa
ekki	aa	ekki
sömu	fbvfo	sami
hneigðir	nvfo	hneigð
í	aþ	í
ástamálum	nhfþ	ástamál
og	c	og
maður	nken	maður
sjálfur	fbken	sjálfur
.	.	.

Ef	c	ef
svo	aa	svo
væri	svg3eþ	vera
þá	aa	þá
gæti	svg3eþ	geta
hver	foken	hver
einasti	lkenvf	einasti
karlmaður	nken	karlmaður
sennilega	aa	sennilega
,	,	,
með	aþ	með
sömu	fbhfþ	sami
rökum	nhfþ	rök
,	,	,
orðið	ssg	verða
æfur	lkensf	æfur
yfir	aþ	yfir
því	fpheþ	það
ef	c	ef
aðrir	fokfn	annar
karlmenn	nkfn	karlmaður
girntust	svm3fþ	girna
ekki	aa	ekki
eiginkonu	nveo	eiginkona
þeirra	fpkfe	hann
af	aþ	af
sömu	fbveþ	sami
ákefð	nveþ	ákefð
og	c	og
hann	fpken	hann
sjálfur	fbken	sjálfur
.	.	.

Þá	aa	þá
er	sfg3en	vera
vitnað	sþghen	vitna
á	aa	á
ný	aa	ný
til	ae	til
orða	nhfe	orð
Margrétar	nvee-s	Margrét
Pálu	nvee-s	Pála
.	.	.

Hún	fpven	hún
segir	sfg3en	segja
að	c	að
nú	aa	nú
þegar	c	þegar
samkynhneigðir	lkfnsf	samkynhneigður
séu	svg3fn	vera
komnir	sþgkfn	koma
út	aa	út
úr	aþ	úr
skápnum	nkeþg	skápur
séu	svg3fn	vera
það	fphen	það
fordómarnir	nkfng	fordómur
sem	ct	sem
hafi	svg3fn	hafa
komið	ssg	koma
sér	fpkfþ	sig
fyrir	aa	fyrir
í	aþ	í
skápnum	nkeþg	skápur
.	.	.

Hún	fpven	hún
segir	sfg3en	segja
:	:	:

Við	fp1fn	ég
,	,	,
lesbíur	nvfn	lesbía
og	c	og
hommar	nkfn	hommi
,	,	,
vitum	sfg1fn	vita
nefnilega	aa	nefnilega
öllum	fokfþ	allur
betur	aam	vel
að	c	að
í	aþ	í
skápnum	nkeþg	skápur
magnast	sfm3en	magna
allt	fohen	allur
sem	ct	sem
neikvætt	lhensf	neikvæður
er	sfg3en	vera
-	-	-
þar	aa	þar
þrífst	sfm3en	þrífa
ekkert	fohen	enginn
af	aþ	af
viti	nheþ	vit
;	;	;
það	fphen	það
er	sfg3en	vera
óttinn	nkeng	ótti
,	,	,
skömmin	nveng	skömm
og	c	og
hatrið	nheng	hatur
sem	ct	sem
ræður	sfg3en	ráða
ríkjum	nhfþ	ríki
í	aþ	í
skápnum	nkeþg	skápur
.	.	.

-	-	-
Aðild	nven	aðild
að	aþ	að
ESB	as	ESB
og	c	og
yfirráð	nhfn	yfirráð
yfir	aþ	yfir
auðlindinni	nveþg	auðlind
:	:	:
Jón	nken-s	Jón
Hákon	nken-s	Hákon
Halldórsson	nken-s	Halldórsson
fjallar	sfg3en	fjalla
um	ao	um
mögulega	lveosf	mögulegur
aðild	nveo	aðild
Íslands	nhee-s	Ísland
að	aþ	að
Evrópusambandinu	nheþgs	Evrópusamband
og	c	og
ummæli	nhfo	ummæli
yfirmanns	nkee	yfirmaður
landbúnaðar-	nhfe	landbúnaðarmál
og	c	og
