Blómin	nhfng	blóm
stóðu	sfg3fþ	standa
bísperrt	lhfnsf	bísperrtur
og	c	og
eitt	tfhen	einn
þeirra	fphfe	það
var	sfg3eþ	vera
farið	sþghen	fara
að	cn	að
blómstra	sng	blómstra
.	.	.
Svona	aa	svona
falleg	lhfosf	fallegur
hafði	sfg3eþ	hafa
Arnbjörg	nven-s	Arnbjörg
ekki	aa	ekki
séð	ssg	sjá
þau	fphfo	það
lengi	aa	lengi
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
raðað	ssg	raða
póstinum	nkeþg	póstur
þeirra	fphfe	það
snyrtilega	aa	snyrtilega
í	ao	í
einn	tfkeo	einn
bunka	nkeo	bunki
og	c	og
dagblöðum	nhfþ	dagblað
í	ao	í
annan	fokeo	annar
.	.	.
Svo	aa	svo
þurrkaði	sfg3eþ	þurrka
hún	fpven	hún
af	aa	af
,	,	,
loftaði	sfg3eþ	lofta
út	aa	út
og	c	og
renndi	sfg3eþ	renna
ryksugunni	nveþg	ryksuga
yfir	ao	yfir
gólfin	nhfog	gólf
.	.	.
Það	fphen	það
var	sfg3eþ	vera
miklu	lheþsf	mikill
meira	lhenvm	mikill
gaman	nhen	gaman
að	cn	að
koma	sng	koma
heim	aa	heim
þegar	c	þegar
allt	fohen	allur
var	sfg3eþ	vera
fínt	lhensf	fínn
.	.	.
Ættir	nvfn	ætt
Austfirðinga	nkfe-s	Austfirðingur
,	,	,
Síðupresta	nkfe-s	Síðuprestur
,	,	,
Austur-Húnvetninga	nkfe-s	Austur-Húnvetningur
og	c	og
Skagfirskar	lvfnsf	skagfirskur
æviskrár	nvfn	æviskrá
svifu	sfg3fþ	svífa
fyrir	aþ	fyrir
augunum	nhfþg	auga
á	aþ	á
henni	fpveþ	hún
.	.	.
Járngerðarstaðaætt	nven-s	járngerðarstaðaætt
,	,	,
Húsafellsætt	nven-s	Húsafellsætt
og	c	og
Krossavíkurætt	nven-s	Krossavíkurætt
,	,	,
bindi	nhen	bindi
eftir	aþ	eftir
bindi	nheo	bindi
,	,	,
hver	foven	hver
hillan	nveng	hilla
af	aþ	af
annarri	foveþ	annar
.	.	.
Hvar	aa	hvar
átti	sfg3eþ	eiga
hún	fpven	hún
að	cn	að
byrja	sng	byrja
?	?	?
Sigþrúður	nven-s	Sigþrúður
hafði	sfg3eþ	hafa
heyrt	ssg	heyra
talað	ssg	tala
um	ao	um
ættfræðiforritið	nheog	ættfræðiforrit
Íslendingabók	nveo-s	Íslendingabók
en	c	en
hafði	sfg3eþ	hafa
engan	fokeo	enginn
aðgang	nkeo	aðgangur
að	aþ	að
því	fpheþ	það
,	,	,
kunni	sfg3eþ	kunna
ekki	aa	ekki
á	ao	á
lyklaborð	nheo	lyklaborð
því	fpheþ	það
ekki	aa	ekki
var	sfg3eþ	vera
kennd	sþgven	kenna
vélritun	nven	vélritun
í	aþ	í
heimavistarskólanum	nkeþg	heimavistarskóli
