fáeina	fokfo	fáeinir
metra	nkfo	metri
nam	sfg3eþ	nema
hann	fpken	hann
aftur	aa	aftur
staðar	nkee	staður
og	c	og
starði	sfg3eþ	stara
einbeittur	lkensf	einbeittur
.	.	.
Víkkaði	sfg3eþ	víkka
stígurinn	nkeng	stígur
þarna	aa	þarna
fyrir	ao	fyrir
framan	aa	framan
hann	fpkeo	hann
?	?	?
Aron	nken-s	Aron
skokkaði	sfg3eþ	skokka
áfram	aa	áfram
ákveðinn	lkensf	ákveðinn
en	c	en
hnaut	sfg3eþ	hnjóta
um	ao	um
lága	lveosf	lágur
trjágrein	nveo	trjágrein
,	,	,
missti	sfg3eþ	missa
vasaljósið	nheog	vasaljós
úr	aþ	úr
hendinni	nveþg	hönd
og	c	og
hrasaði	sfg3eþ	hrasa
með	aþ	með
tilburðum	nkfþ	tilburður
.	.	.
Aron	nken-s	Aron
lá	sfg3eþ	liggja
kylliflatur	lkensf	kylliflatur
í	aþ	í
votu	lheþsf	votur
grasinu	nheþg	gras
með	ao	með
lokuð	lhfosf	lokaður
augun	nhfog	auga
og	c	og
dæsti	sfg3eþ	dæsa
.	.	.
Gat	sfg3eþ	geta
þetta	fahen	þessi
versnað	ssg	versna
?	?	?
En	c	en
þá	aa	þá
fann	sfg3eþ	finna
hann	fpken	hann
að	c	að
eitthvað	fohen	einhver
í	aþ	í
bakpokanum	nkeþg	bakpoki
var	sfg3eþ	vera
farið	sþghen	fara
að	cn	að
stinga	sng	stinga
hann	fpkeo	hann
í	ao	í
bakið	nheog	bak
.	.	.
Hann	fpken	hann
beit	sfg3eþ	bíta
á	ao	á
jaxlinn	nkeog	jaxl
,	,	,
rúllaði	sfg3eþ	rúlla
sér	fpkeþ	sig
á	ao	á
magann	nkeog	magi
og	c	og
kveinkaði	sfg3eþ	kveinka
sér	fpkeþ	sig
við	ao	við
að	cn	að
teygja	sng	teygja
sig	fpkeo	sig
eftir	aþ	eftir
vasaljósinu	nheþg	vasaljós
.	.	.
Aron	nken-s	Aron
lýsti	sfg3eþ	lýsa
í	aa	í
kringum	ao	kringum
sig	fpkeo	sig
og	c	og
sá	sfg3eþ	sjá
að	c	að
þetta	fahen	þessi
var	sfg3eþ	vera
augljóslega	aa	augljóslega
nokkuð	fohen	nokkur
stórt	lhensf	stór
rjóður	nhen	rjóður
í	aþ	í
skóginum	nkeþg	skógur
en	c	en
það	fphen	það
voru	sfg3fþ	vera
vonbrigði	nhfn	vonbrigði
að	cn	að
sjá	sng	sjá
sömu	fbkfo	sami
dimmgrænu	lkfovf	dimmgrænn
og	c	og
dökkbrúnu	lkfovf	dökkbrúnn
litina	nkfog	litur
alls	fokee	allur
staðar	nkee	staður
.	.	.
Þó	aa	þó
var	sfg3eþ	vera
það	fphen	það
óneitanlega	aa	óneitanlega
gott	lhensf	góður
að	cn	að
vera	sng	vera
kominn	sþgken	koma
út	aa	út
úr	aþ	úr
þykku	lheþsf	þykkur
kjarrinu	nheþg	kjarr
.	.	.
Aron	nken-s	Aron
stóð	sfg3eþ	standa
á	ao	á
fætur	nkfo	fótur
,	,	,
sneri	sfg3eþ	snúa
sér	fpkeþ	sig
við	aa	við
og	c	og
gapti	sfg3eþ	gapa
af	aþ	af
undrun	nveþ	undrun
.	.	.
Þarna	aa	þarna
blasti	sfg3eþ	blasa
við	aa	við
lítið	lhensf	lítill
hús	nhen	hús
hinum	fahfþ	hinn
megin	aa	megin
í	aþ	í
rjóðrinu	nheþg	rjóður
!	!	!
Aron	nken-s	Aron
gleymdi	sfg3eþ	gleyma
öllum	fokfþ	allur
verkjum	nkfþ	verkur
og	c	og
þreytu	nveþ	þreyta
og	c	og
æddi	sfg3eþ	æða
