landinu	nheþg	land
.	.	.
Hann	fpken	hann
fékk	sfg3eþ	fá
besta	lkeove	góður
kjötbitann	nkeog	kjötbiti
(	(	(
nýrnastykki	nheo	nýrnastykki
,	,	,
síðu	nveo	síða
,	,	,
bringubita	nkeo	bringubiti
)	)	)
ellegar	c	ellegar
öllum	fokfþ	allur
var	sfg3eþ	vera
skammtað	sþghen	skammta
brauð	nhen	brauð
,	,	,
kökur	nvfn	kaka
eða	c	eða
lummur	nvfn	lumma
nema	c	nema
honum	fpkeþ	hann
,	,	,
sem	ct	sem
fékk	sfg3eþ	fá
að	cn	að
borða	sng	borða
ómælt	lheosf	ómældur
.	.	.
Margir	lkfnsf	margur
gátu	sfg3fþ	geta
þess	fphee	það
einnig	aa	einnig
,	,	,
að	c	að
honum	fpkeþ	hann
væri	svg3eþ	vera
fært	sþghen	færa
í	ao	í
rúmið	nheog	rúm
um	ao	um
morguninn	nkeog	morgunn
,	,	,
jafnvel	aa	jafnvel
að	c	að
þetta	fahen	þessi
væri	svg3eþ	vera
frídagur	nken	frídagur
bóndans	nkeeg	bóndi
.	.	.
21	ta	21
Kvölds	nhee	kvöld
eða	c	eða
morgna	nkfe	morgunn
Annar	nken-s	Annar
munur	nken	munur
á	aþ	á
frásögn	nveþ	frásögn
Jóns	nkee-s	Jón
eldra	x	gamall
og	c	og
yngra	x	ungur
er	sfg3en	vera
sá	faken	sá
að	c	að
samkvæmt	aþ	samkvæmt
eldri	lveþvm	gamall
heimildinni	nveþg	heimild
á	sfg3en	eiga
að	cn	að
ganga	sng	ganga
út	aa	út
fyrir	ao	fyrir
dyr	nvfo	dyr
og	c	og
bjóða	sng	bjóða
Þorra	nkeo-s	Þorri
velkominn	lkeosf	velkominn
kvöldið	nheog	kvöld
á	aa	á
undan	aþ	undan
fyrsta	lkeþve	fyrstur
degi	nkeþ	dagur
þorra	nkee	þorri
,	,	,
en	c	en
í	aþ	í
hinni	gveþ	hinn
yngri	lveþvm	ungur
ekki	aa	ekki
fyrr	aam	fyrr
en	c	en
eldsnemma	aa	eldsnemma
á	aþ	á
fyrsta	lkeþve	fyrstur
morgni	nkeþ	morgunn
þorra	nkee	þorri
.	.	.
Fyrri	lveþvm	fyrri
tímasetningu	nveþ	tímasetning
ber	sfg3en	bera
saman	aa	saman
við	ao	við
Þorrabrag	nkeo-s	Þorrabragur
þann	fakeo	sá
,	,	,
sem	ct	sem
sagður	sþgken	segja
er	sfg3en	vera
ortur	sþgken	yrkja
af	aþ	af
síra	nkeþ	síra
Brynjólfi	nkeþ-s	Brynjólfur
Halldórssyni	nkeþ-s	Halldórsson
árið	nheog	ár
1715	ta	1715
,	,	,
en	c	en
þar	aa	þar
birtist	sfm3en	birta
Þorri	nken-s	Þorri
honum	fpkeþ	hann
kvöldið	nheog	kvöld
fyrir	ao	fyrir
þorrabyrjun	nveo	þorrabyrjun
:	:	:
<	<	<
vísa	nven	vísa
>	>	>
22	ta	22
Það	fphen	það
er	sfg3en	vera
vitaskuld	aa	vitaskuld
fremur	aam	fremur
huglæg	lvensf	huglægur
röksemd	nven	röksemd
,	,	,
að	c	að
meiri	lkenvm	mikill
forneskjubragur	nken	forneskjubragur
sé	svg3en	vera
á	aþ	á
því	fpheþ	það
að	cn	að
hefja	sng	hefja
gleðskap	nkeo	gleðskapur
eða	c	eða
helgiathöfn	nveo	helgiathöfn
kvöldið	nheog	kvöld
fyrir	ao	fyrir
sjálfan	fbkeo	sjálfur
hátíðisdaginn	nkeog	hátíðisdagur
heldur	aam	heldur
en	c	en
snemma	ae	snemma
morguns	nkee	morgunn
.	.	.
Þetta	fahen	þessi
virðist	sfm3en	virða
þó	aa	þó
hvarvetna	aa	hvarvetna
vera	sng	vera
algengt	lhensf	algengur
athæfi	nhen	athæfi
og	c	og
ekki	aa	ekki
síst	aae	síður
í	aþ	í
kristnum	lkeþsf	kristinn
sið	nkeþ	siður
.	.	.
Sem	c	sem
dæmi	nhen	dæmi
má	sfg3en	mega
nefna	sng	nefna
aðfangadagskvöld	nheo	aðfangadagskvöld
jóla	nhfe	jól
og	c	og
Jónsmessunótt	nveo-s	Jónsmessunótt
.	.	.
Hafi	svg3en	hafa
hin	gven	hinn
upphaflega	lvenvf	upphaflegur
þorrakoma	nven	þorrakoma
miðast	ssm	miða
við	ao	við
annað	foheo	annar
tveggja	tfhfe	tveir
nýtt	lheosf	nýr
tungl	nheo	tungl
eða	c	eða
tungl	nheo	tungl
í	aþ	í
fyllingu	nveþ	fylling
,	,	,
þá	aa	þá
var	sfg3eþ	vera
eðlilegast	lhense	eðlilegur
að	cn	að
bjóða	sng	bjóða
hann	fpkeo	hann
velkominn	lkeosf	velkominn
,	,	,
þegar	c	þegar
máninn	nkeng	máni
birtist	sfm3eþ	birta
við	ao	við
sjóndeildarhringinn	nkeog	sjóndeildarhringur
eða	c	eða
skein	sfg3eþ	skína
hátt	aa	hátt
á	aþ	á
himni	nkeþ	himinn
sjálft	fbheo	sjálfur
aðfarakvöldið	nheog	aðfarakvöld
.	.	.
Til	ae	til
samanburðar	nkee	samanburður
má	sfg3en	mega
nefna	sng	nefna
að	c	að
páskahátíð	nven	páskahátíð
gyðinga	nkfe	gyðingur
miðaðist	sfm3eþ	miða
við	ao	við
fyrstu	lveove	fyrstur
tunglfyllingu	nveo	tunglfylling
eða	c	eða
15.	ta	15.
dag	nkeo	dagur
tungls	nhee	tungl
eftir	aþ	eftir
jafndægri	nheþ	jafndægur
á	aþ	á
vori	nheþ	vor
.	.	.
23	ta	23
Sá	faken	sá
siður	nken	siður
þekktist	sfm3eþ	þekkja
líka	aa	líka
víðar	aam	víða
á	aþ	á
Norðurlöndum	nhfþ-s	Norðurlönd
að	cn	að
heilsa	sng	heilsa
með	aþ	með
þulu	nveþ	þula
fyrsta	lheþve	fyrstur
tungli	nheþ	tungl
nýársins	nheeg	nýár
,	,	,
sem	ct	sem
hlýtur	sfg3en	hljóta
að	cn	að
birtast	snm	birta
um	ao	um
líkt	lheosf	líkur
leyti	nheo	leyti
og	c	og
þorri	nken	þorri
byrjar	sfg3en	byrja
.	.	.
Á	aþ	á
Skáni	nkeþ-s	Skánn
var	sfg3eþ	vera
þetta	fahen	þessi
tungl	nhen	tungl
kallað	sþghen	kalla
Nykung	e	Nykung
og	c	og
í	aþ	í
uppskrift	nveþ	uppskrift
frá	aþ	frá
miðri	lveþsf	miður
18.	ta	18.
öld	nveþ	öld
byrjar	sfg3en	byrja
þulan	nveng	þula
á	ao	á
þessa	faveo	þessi
leið	nveo	leið
:	:	:
<	<	<
vísa	nven	vísa
>	>	>
24	ta	24
Bóndadagur	nken	bóndadagur
Nafnið	nheng	nafn
bóndadagur	nken	bóndadagur
á	aþ	á
fyrsta	lkeþve	fyrstur
degi	nkeþ	dagur
þorra	nkee	þorri
kemur	sfg3en	koma
ekki	aa	ekki
fyrr	aam	fyrr
fram	aa	fram
á	aþ	á
prenti	nheþ	prent
en	c	en
hjá	aþ	hjá
Jóni	nkeþ-s	Jón
Árnasyni	nkeþ-s	Árnason
í	aþ	í
áðurnefndum	lkeþsf	áðurnefndur
kafla	nkeþ	kafli
þjóðsagnanna	nvfeg	þjóðsaga
árið	nheog	ár
1864	ta	1864
.	.	.
Því	fpheþ	það
er	sfg3en	vera
hugsanlegt	lhensf	hugsanlegur
að	c	að
öll	foven	allur
síðari	lvenvm	síðari
notkun	nven	notkun
þess	fphee	það
sé	svg3en	vera
þaðan	aa	þaðan
runnin	sþgven	renna
.	.	.
Jón	nken-s	Jón
segir	sfg3en	segja
að	c	að
fyrsti	lkenve	fyrstur
þorradagur	nken	þorradagur
sé	svg3en	vera
kallaður	sþgken	kalla
þetta	fahen	þessi
,	,	,
sumstaðar	aa	sumstaðar
á	aþ	á
Norðurlandi	nheþ-s	Norðurland
'	'	'
.	.	.
Sú	faven	sá
tilvísun	nven	tilvísun
ætti	svg3eþ	eiga
að	cn	að
styrkjast	snm	styrkja
af	aþ	af
upplýsingum	nvfþ	upplýsing
sem	ct	sem
Ólafur	nken-s	Ólafur
Davíðsson	nken-s	Davíðsson
birti	sfg3eþ	birta
árið	nheog	ár
1898	ta	1898
og	c	og
hafði	sfg3eþ	hafa
eftir	aþ	eftir
Ingibjörgu	nveþ-s	Ingibjörg
Schulesen	nveþ-s	Schulesen
,	,	,
en	c	en
hún	fpven	hún
var	sfg3eþ	vera
sýslumannsfrú	nven	sýslumannsfrú
í	aþ	í
Þingeyjarsýslu	nveþ-s	Þingeyjarsýsla
1841-1862	ta	1841-1862
:	:	:
Eg	fp1en	ég
get	sfg1en	geta
bætt	ssg	bæta
því	fpheþ	það
við	ao	við
munnmælin	nhfog	munnmæli
um	ao	um
þorra	nkeo	þorri
,	,	,
góu	nveo	góa
[	[	[
...	...	...
]	]	]
að	c	að
föstudagurinn	nkeng	föstudagur
fyrstur	lkense	fyrstur
í	aþ	í
þorra	nkeþ	þorri
er	sfg3en	vera
nefndur	sþgken	nefna
bóndadagur	nken	bóndadagur
,	,	,
en	c	en
sunnudagurinn	nkeng	sunnudagur
fyrstur	lkense	fyrstur
í	aþ	í
góu	nveþ	góa
konudagur	nken	konudagur
.	.	.
Húsbóndinn	nkeng	húsbóndi
átti	sfg3eþ	eiga
að	cn	að
gæða	sng	gæða
konu	nveþ	kona
sinni	feveþ	sinn
fremur	aam	fremur
venju	nveþ	venja
konudaginn	nkeog	konudagur
en	c	en
húsfreyjan	nveng	húsfreyja
manni	nkeþ	maður
sínum	fekeþ	sinn
bóndadaginn	nkeog	bóndadagur
.	.	.
Eg	fp1en	ég
hefi	sfg1en	hafa
þetta	faheo	þessi
eftir	aþ	eftir
frú	nveþ	frú
Ingibjörgu	nveþ-s	Ingibjörg
Schulesen	nveþ-s	Schulesen
.	.	.
Þegar	c	þegar
hún	fpven	hún
var	sfg3eþ	vera
sýslumannsfrú	nven	sýslumannsfrú
í	aþ	í
Þingeyjarsýslu	nveþ-s	Þingeyjarsýsla
,	,	,
var	sfg3eþ	vera
hún	fpven	hún
vön	lvensf	vanur
að	cn	að
baka	sng	baka
jólaköku	nveo	jólakaka
til	ae	til
bóndadagsins	nkeeg	bóndadagur
,	,	,
en	c	en
Sigfús	nken-s	Sigfús
sýslumaður	nken	sýslumaður
,	,	,
maður	nken	maður
hennar	fpvee	hún
,	,	,
veitti	sfg3eþ	veita
aftur	aa	aftur
rauðvín	nheo	rauðvín
með	aþ	með
mat	nkeþ	matur
konudaginn	nkeog	konudagur
.	.	.
25	ta	25
Árni	nken-s	Árni
Sigurðsson	nken-s	Sigurðsson
(	(	(
f.	as	f.
1839	ta	1839
)	)	)
notar	sfg3en	nota
þessi	fahfo	þessi
orð	nhfo	orð
einnig	aa	einnig
í	aþ	í
ritgerðinni	nveþg	ritgerð
Í	aþ	í
Breiðdal	nkeþ-s	Breiðdalur
fyrir	aþ	fyrir
sextíu	tfhfþ	sextíu
árum	nhfþ	ár
sem	ct	sem
hann	fpken	hann
skrifaði	sfg3eþ	skrifa
vestur	aa	vestur
í	aþ	í
Kanada	nheþ-s	Kanada
árið	nheog	ár
1911	ta	1911
.	.	.
Í	aþ	í
upphafi	nheþ	upphaf
segir	sfg3en	segja
hann	fpken	hann
að	c	að
hjá	aþ	hjá
sér	fpkeþ	sig
hafi	svg3en	hafa
vaknað	ssg	vakna
löngun	nven	löngun
til	ae	til
að	cn	að
rita	sng	rita
lýsingu	nveo	lýsing
af	aþ	af
búskapar-atferli	nheþ	búskapar-atferli
í	aþ	í
sveitinni	nveþg	sveit
,	,	,
þar	aa	þar
sem	c	sem
eg	fp1en	ég
fæddist	sfm1eþ	fæða
og	c	og
ólst	sfm1eþ	ala
upp	aa	upp
,	,	,
eins	aa	eins
og	c	og
það	fphen	það
tíðkaðist	sfm3eþ	tíðka
á	aþ	á
uppvaxtarárum	nhfþ	uppvaxtarár
mínum	fehfþ	minn
.	.	.
Ritgjörð	nven	ritgjörð
þessi	faven	þessi
nær	sfg3en	ná
aðeins	aa	aðeins
yfir	ao	yfir
tímabilið	nheog	tímabil
1849	ta	1849
-	-	-
þá	aa	þá
var	sfg1eþ	vera
eg	fp1en	ég
tíu	tfhfe	tíu
ára	nhfe	ár
-	-	-
til	ae	til
1857	ta	1857
,	,	,
að	aþ	að
þeim	fahfþ	sá
árum	nhfþ	ár
báðum	fohfþ	báðir
meðtöldum	lhfþsf	meðtalinn
.	.	.
Eftir	ao	eftir
það	fpheo	það
tóku	sfg3fþ	taka
ýmsar	fovfn	ýmis
breytingar	nvfn	breyting
að	cn	að
gera	sng	gera
vart	lheosf	var
við	ao	við
sig	fpvfo	sig
.	.	.
Ummæli	nhfn	ummæli
Árna	nkee-s	Árni
eru	sfg3fn	vera
á	ao	á
þessa	faveo	þessi
leið	nveo	leið
:	:	:
Fyrsti	lkenve	fyrstur
dagurinn	nkeng	dagur
í	aþ	í
Þorra	nkeþ-s	Þorri
,	,	,
bóndadagurinn	nkeng	bóndadagur
,	,	,
var	sfg3eþ	vera
uppáhaldsdagur	nken	uppáhaldsdagur
,	,	,
og	c	og
eins	aa	eins
konudagurinn	nkeng	konudagur
,	,	,
fyrsti	lkenve	fyrstur
Góudagur	nken-s	Góudagur
.	.	.
Þetta	fahen	þessi
gæti	svg3eþ	geta
virst	ssm	virða
álíka	aa	álíka
gömul	lvensf	gamall
heimild	nven	heimild
og	c	og
hinar	gvfn	hinn
prentuðu	lvfnvf	prentaður
þjóðsögur	nvfn	þjóðsaga
,	,	,
og	c	og
frá	aþ	frá
Suðausturlandi	nheþ-s	Suðausturland
.	.	.
Um	ao	um
Árna	nkeo-s	Árni
segir	sfg3en	segja
til	ae	til
dæmis	nhee	dæmi
Thorstína	nven-s	Thorstína
Jackson	nven-s	Jackson
,	,	,
að	c	að
hann	fpken	hann
hafi	svg3en	hafa
verið	ssg	vera
,	,	,
maður	nken	maður
sérstaklega	aa	sérstaklega
vel	aa	vel
gefinn	lkensf	gefinn
,	,	,
vel	aa	vel
lesinn	lkensf	lesinn
og	c	og
menntaður	lkensf	menntaður
á	ao	á
íslenzka	lveosf	íslenskur
vísu	nveo	vísa
.	.	.
'	'	'
26	ta	26
Slík	fbhfn	slíkur
ummæli	nhfn	ummæli
merkja	sfg3fn	merkja
reyndar	aa	reyndar
oft	aa	oft
að	c	að
maður	nken	maður
hafi	svg3en	hafa
verið	ssg	vera
bókfróður	lkensf	bókfróður
.	.	.
Því	fpheþ	það
er	sfg3en	vera
ekki	aa	ekki
loku	nveþ	loka
fyrir	ao	fyrir
það	fpheo	það
skotið	sþghen	skjóta
að	c	að
hann	fpken	hann
hafi	svg3en	hafa
tekið	ssg	taka
þessi	fahfo	þessi
orð	nhfo	orð
upp	aa	upp
eftir	aþ	eftir
bók	nveþ	bók
sem	ct	sem
gefin	sþgven	gefa
var	sfg3eþ	vera
út	aa	út
hálfri	lveþsf	hálfur
öld	nveþ	öld
áður	aa	áður
en	c	en
hann	fpken	hann
skrifaði	sfg3eþ	skrifa
ritgerð	nveo	ritgerð
sína	feveo	sinn
.	.	.
Um	ao	um
sjálf	fbhfo	sjálfur
hátíðabrigðin	nhfog	hátíðabrigði
er	sfg3en	vera
á	ao	á
hinn	fakeo	hinn
bóginn	nkeog	bógur
varla	aa	varla
ástæða	nven	ástæða
til	ae	til
að	cn	að
efast	snm	efa
.	.	.
Vert	lhensf	verður
er	sfg3en	vera
líka	aa	líka
að	cn	að
taka	sng	taka
eftir	aþ	eftir
því	fpheþ	það
,	,	,
að	c	að
orðið	nheng	orð
bóndadagur	nken	bóndadagur
er	sfg3en	vera
hvorki	c	hvorki
í	aþ	í
almanaki	nheþ	almanak
Finns	nkee-s	Finnur
Magnússonar	nkee-s	Magnússon
né	c	né
Jóns	nkee-s	Jón
Sigurðssonar	nkee-s	Sigurðsson
,	,	,
sem	ct	sem
gefin	sþghfn	gefa
voru	sfg3fþ	vera
út	aa	út
árlega	aa	árlega
frá	aþ	frá
1837-1874	ta	1837-1874
,	,	,
og	c	og
í	ao	í
Almanak	nheo-s	Almanak
Þjóðvinafélagsins	nheegs	Þjóðvinafélagið
,	,	,
sem	ct	sem
tók	sfg3eþ	taka
við	aa	við
af	aþ	af
almanaki	nheþ	almanak
Jóns	nkee-s	Jón
Sigurðssonar	nkee-s	Sigurðsson
,	,	,
kemst	sfm3en	koma
það	fphen	það
ekki	aa	ekki
fyrr	aam	fyrr
en	c	en
1927	ta	1927
,	,	,
rúmum	lkfþsf	rúmur
sex	tfkfþ	sex
áratugum	nkfþ	áratugur
eftir	ao	eftir
að	c	að
það	fphen	það
sést	sfm3en	sjá
fyrst	aae	fyrr
á	aþ	á
prenti	nheþ	prent
hjá	aþ	hjá
Jóni	nkeþ-s	Jón
Árnasyni	nkeþ-s	Árnason
.	.	.
Almanak	nhen	almanak
Þjóðvinafélagsins	nheegs	Þjóðvinafélagið
hefur	sfg3en	hafa
reyndar	aa	reyndar
ætíð	aa	ætíð
verið	ssg	vera
einkar	aa	einkar
varfærið	lhensf	varfærinn
gagnvart	aþ	gagnvart
nýjungum	nvfþ	nýjung
,	,	,
og	c	og
orðið	nheng	orð
bóndadagur	nken	bóndadagur
hafði	sfg3eþ	hafa
óneitanlega	aa	óneitanlega
sjaldan	aa	sjaldan
sést	ssm	sjá
á	aþ	á
prenti	nheþ	prent
fram	aa	fram
til	ae	til
þessa	fahee	þessi
.	.	.
Fyrir	ao	fyrir
utan	aa	utan
þjóðsögurnar	nvfog	þjóðsaga
verður	sfg3en	verða
ekki	aa	ekki
með	aþ	með
vissu	nveþ	vissa
bent	sþghen	benda
á	ao	á
það	fpheo	það
nema	c	nema
tvisvar	aa	tvisvar
sinnum	nhfþ	sinn
fyrir	ao	fyrir
aldamótin	nhfog	aldamót
1900	ta	1900
,	,	,
í	aþ	í
áðurnefndu	lheþsf	áðurnefndur
dæmi	nheþ	dæmi
hjá	aþ	hjá
Ólafi	nkeþ-s	Ólafur
Davíðssyni	nkeþ-s	Davíðsson
árið	nheog	ár
1898	ta	1898
,	,	,
og	c	og
í	aþ	í
tímasetningu	nveþ	tímasetning
kvæðis	nhee	kvæði
eftir	ao	eftir
Pál	nkeo-s	Páll
Ólafsson	nkeo-s	Ólafsson
:	:	:
Á	ao	á
Bóndadaginn	nkeogs	Bóndadagur
1879	ta	1879
.	.	.
Síðan	aa	síðan
sést	sfm3en	sjá
það	fphen	það
í	aþ	í
tveim	tfvfþ	tveir
sögum	nvfþ	saga
eftir	ao	eftir
Guðmund	nkeo-s	Guðmundur
Friðjónsson	nkeo-s	Friðjónsson
sem	ct	sem
út	aa	út
komu	sfg3fþ	koma
1915	ta	1915
og	c	og
1919.27	ta	1919.27
Heimildamaður	nken	heimildamaður
úr	aþ	úr
Önundarfirði	nkeþ-s	Önundarfjörður
,	,	,
f.	as	f.
1908	ta	1908
,	,	,
segist	sfm3en	segja
fyrst	aae	fyrr
hafa	sng	hafa
orðið	ssg	verða
vör	lvensf	var
við	ao	við
það	fpheo	það
í	aþ	í
sögu	nveþ	saga
eftir	ao	eftir
Guðmund	nkeo-s	Guðmundur
;	;	;
og	c	og
annar	foken	annar
heimildarmaður	nken	heimildarmaður
úr	aþ	úr
Mýrdal	nkeþ-s	Mýrdalur
,	,	,
f.	as	f.
1912	ta	1912
,	,	,
telur	sfg3en	telja
það	fpheo	það
varla	aa	varla
hafa	sng	hafa
komist	ssm	koma
í	ao	í
almenna	lveosf	almennur
notkun	nveo	notkun
fyrr	aam	fyrr
en	c	en
á	aþ	á
20.	ta	20.
öld	nveþ	öld
.	.	.
28	ta	28
Orðið	nheng	orð
var	sfg3eþ	vera
þó	aa	þó
sennilega	aa	sennilega
orðið	sþghen	verða
nokkuð	fohen	nokkur
útbreitt	lhensf	útbreiddur
á	aþ	á
þriðja	lkeþvf	þriðji
áratug	nkeþ	áratugur
þeirrar	favee	sá
aldar	nvee	öld
,	,	,
úr	aþ	úr
því	fpheþ	það
að	c	að
Almanak	nhen-s	Almanak
Þjóðvinafélagsins	nheegs	Þjóðvinafélagið
tók	sfg3eþ	taka
það	fpheo	það
upp	aa	upp
.	.	.
Einnig	aa	einnig
má	sfg3en	mega
geta	sng	geta
þess	fphee	það
til	aa	til
,	,	,
að	c	að
þá	aa	þá
hafi	svg3en	hafa
farið	ssg	fara
að	cn	að
gæta	sng	gæta
áhrifa	nhfe	áhrif
frá	aþ	frá
mályrkju	nveþ	mályrkja
dr.	as	dr.
Guðmundar	nkee-s	Guðmundur
Finnbogasonar	nkee-s	Finnbogason
,	,	,
sem	ct	sem
