gefin	sþgven	gefa
heldur	c	heldur
einungis	aa	einungis
sýnt	sþghen	sýna
samheitið	nheng	samheiti
'	'	'
kynferðislíf	nhen	kynferðislíf
'	'	'
og	c	og
nefnd	sþghfn	nefna
samsettu	lhfnvf	samsettur
orðin	nhfng	orð
'	'	'
kynlífs-fræðsla	nven	kynlífsfræðsla
,	,	,
-hegðun	nven	hegðun
'	'	'
.	.	.
Hugtakið	nheng	hugtak
kynlíf	nhen	kynlíf
(	(	(
sexuality	e	sexuality
)	)	)
hefur	sfg3en	hafa
aftur	aa	aftur
á	aa	á
móti	aa	móti
mjög	aa	mjög
víðtæka	lveosf	víðtækur
merkingu	nveo	merking
.	.	.
Íslenska	lhenvf	íslenskur
orðið	nheng	orð
er	sfg3en	vera
samsett	lhensf	samsettur
úr	aþ	úr
tveimur	tfhfþ	tveir
orðum	nhfþ	orð
,	,	,
kyn	nhen	kyn
og	c	og
líf	nhen	líf
,	,	,
og	c	og
er	sfg3en	vera
ljóst	lhensf	ljós
af	aþ	af
því	fpheþ	það
að	c	að
það	fphen	það
höfðar	sfg3en	höfða
til	ae	til
þess	fphee	það
hvaða	fsheþ	hvaða
lífi	nheþ	líf
við	fp1fn	ég
lifum	sfg1fn	lifa
sem	c	sem
kynverur	nvfn	kynvera
.	.	.
Í	aþ	í
því	fpheþ	það
felst	sfm3en	fela
hvaða	fshfþ	hvaða
augum	nhfþ	auga
við	fp1fn	ég
lítum	sfg1fn	líta
á	ao	á
okkur	fp1fo	ég
sjálf	fbhfo	sjálfur
sem	c	sem
kona	nven	kona
eða	c	eða
karl	nken	karl
,	,	,
afstöðu	nveo	afstaða
okkar	fp1fe	ég
til	ae	til
kynlífsmála	nhfe	kynlífsmál
,	,	,
hvernig	aa	hvernig
við	fp1fn	ég
hegðum	sfg1fn	hegða
okkur	fp1fþ	ég
sem	c	sem
kynverur	nvfn	kynvera
og	c	og
komum	sfg1fn	koma
fram	aa	fram
við	ao	við
aðra	fokfo	annar
.	.	.
Samkvæmt	aþ	samkvæmt
skilgreiningu	nveþ	skilgreining
bandarísku	lhfevf	bandarískur
kynfræðslusamtakanna	nhfeg	kynfræðslusamtök
SIECUS	as	SIECUS
(	(	(
Sexuality	e	Sexuality
Information	e	Information
and	e	and
Education	e	Education
Council	e	Council
of	e	of
the	e	the
United	e	United
States	e	States
)	)	)
segir	sfg3en	segja
svo	aa	svo
um	ao	um
hugtakið	nheog	hugtak
kynlíf	nheo	kynlíf
:	:	:
Kynlíf	nhen	kynlíf
felur	sfg3en	fela
í	aþ	í
sér	fpheþ	sig
þekkingu	nveo	þekking
,	,	,
viðhorf	nhfo	viðhorf
,	,	,
gildismat	nheo	gildismat
og	c	og
hegðun	nveo	hegðun
einstaklingsins	nkeeg	einstaklingur
.	.	.
Það	fphen	það
nær	sfg3en	ná
til	ae	til
starfsemi	nvee	starfsemi
kynfæra	nhfe	kynfæri
(	(	(
svo	aa	svo
sem	c	sem
kynsvörunar	nvee	kynsvörun
)	)	)
,	,	,
sjálfsvitundar	nvee	sjálfsvitund
(	(	(
identity	e	identity
)	)	)
,	,	,
kynhneigðar	nvee	kynhneigð
,	,	,
kynhlutverka	nhfe	kynhlutverk
og	c	og
persónuleika	nkee	persónuleiki
,	,	,
hugsana	nvfe	hugsun
,	,	,
tilfinninga	nvfe	tilfinning
og	c	og
sambanda	nhfe	samband
.	.	.
Siðferðislegir	lkfnsf	siðferðislegur
,	,	,
trúarlegir	lkfnsf	trúarlegur
og	c	og
menningarlegir	lkfnsf	menningarlegur
þættir	nkfn	þáttur
hafa	sfg3fn	hafa
áhrif	nhfo	áhrif
á	ao	á
það	fpheo	það
hvernig	aa	hvernig
einstaklingurinn	nkeng	einstaklingur
tjáir	sfg3en	tjá
sig	fpkeo	sig
og	c	og
hegðar	sfg3en	hegða
sér	fpkeþ	sig
sem	c	sem
kynvera	nven	kynvera
.	.	.
Þessi	faven	þessi
skilgreining	nven	skilgreining
SIECUS	as	SIECUS
er	sfg3en	vera
að	aþ	að
mörgu	lheþsf	margur
leyti	nheþ	leyti
góð	lvensf	góður
en	c	en
kemur	sfg3en	koma
ekki	aa	ekki
inn	aa	inn
á	ao	á
klínískan	lkeosf	klínískur
þátt	nkeo	þáttur
kynlífsins	nheeg	kynlíf
.	.	.
Í	aþ	í
bók	nveþ	bók
Masters	e	Masters
,	,	,
Johnson	e	Johnson
og	c	og
Kolodny	e	Kolodny
(	(	(
1982	ta	1982
)	)	)
um	ao	um
kynlíf	nheo	kynlíf
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
líffræðilegan	lkeosf	líffræðilegur
,	,	,
sálfélagslegan	lkeosf	sálfélagslegur
,	,	,
hegðunarlegan	lkeosf	hegðunarlegur
,	,	,
klínískan	lkeosf	klínískur
og	c	og
menningarlegan	lkeosf	menningarlegur
þátt	nkeo	þáttur
.	.	.
Líffræðilegi	lkenvf	líffræðilegur
þátturinn	nkeng	þáttur
er	sfg3en	vera
líffræðileg	lvensf	líffræðilegur
uppbygging	nven	uppbygging
okkar	fp1fe	ég
og	c	og
líffræðilegur	lkensf	líffræðilegur
hæfileiki	nken	hæfileiki
að	cn	að
geta	sng	geta
eignast	ssm	eigna
börn	nhfo	barn
.	.	.
Kynsvörun	nven	kynsvörun
,	,	,
og	c	og
þar	aa	þar
með	aa	með
fullnæging	nven	fullnæging
,	,	,
er	sfg3en	vera
hluti	nken	hluti
af	aþ	af
líffræðilega	lkeþvf	líffræðilegur
þættinum	nkeþg	þáttur
.	.	.
Sálfélagslegi	lkenvf	sálfélagslegur
þátturinn	nkeng	þáttur
á	sfg3en	eiga
við	aa	við
um	ao	um
tilfinningar	nvfo	tilfinning
,	,	,
hugsanir	nvfo	hugsun
,	,	,
persónuleika	nkeo	persónuleiki
og	c	og
samspil	nheo	samspil
einstaklinga	nkfe	einstaklingur
.	.	.
Hegðunarþátturinn	nkeng	hegðunarþáttur
snýr	sfg3en	snúa
að	aþ	að
því	fpheþ	það
hvernig	aa	hvernig
fólk	nhen	fólk
hegðar	sfg3en	hegða
sér	fpheþ	sig
í	aþ	í
kynlífi	nheþ	kynlíf
,	,	,
hvort	c	hvort
það	fphen	það
til	ae	til
dæmis	nhee	dæmi
stundar	sfg3en	stunda
sjálfsfróun	nveo	sjálfsfróun
og	c	og
hefur	sfg3en	hafa
kynmök	nhfo	kynmök
.	.	.
Sá	faken	sá
þáttur	nken	þáttur
byggist	sfm3en	byggja
bæði	c	bæði
á	aþ	á
líffræðilega	lkeþvf	líffræðilegur
og	c	og
