Verslóritgerðir	nvfn-s	Verslóritgerðir
2002	ta	2002
,	,	,
strákar	nkfn	strákur

Er	sfg3en	vera
ungt	lhensf	ungur
fólk	nhen	fólk
auðveld	lvensf	auðveldur
bráð	nven	bráð
óprútinna	lkfesf	óprútinn
auglýsenda	nkfe	auglýsandi
?	?	?

Í	aþ	í
lífsgæðakapphlaupi	nheþ	lífsgæðakapphlaup
nútímans	nkeeg	nútími
verða	sfg3fn	verða
auglýsendur	nkfn	auglýsandi
sífellt	aa	sífellt
bíræfnari	lkfnvm	bíræfinn
.	.	.

Samkeppnin	nveng	samkeppni
um	ao	um
neytendur	nkfo	neytandi
fer	sfg3en	fara
harðnandi	slg	harðna
og	c	og
auglýsingastofur	nvfn	auglýsingastofa
skjóta	sfg3fn	skjóta
upp	aa	upp
kollinum	nkeþg	kollur
,	,	,
hver	foven	hver
á	aa	á
eftir	aþ	eftir
annarri	foveþ	annar
.	.	.

Fyrirtæki	nhfn	fyrirtæki
fara	sfg3fn	fara
áður	aa	áður
ótroðnar	lvfosf	ótroðinn
slóðir	nvfo	slóð
í	aþ	í
auglýsingum	nvfþ	auglýsing
sínum	fevfþ	sinn
og	c	og
ríður	sfg3en	ríða
oft	aa	oft
um	ao	um
þverbak	nheo	þverbak
í	aþ	í
þeim	fahfþ	sá
efnum	nhfþ	efni
.	.	.

Það	fahen	sá
sem	ct	sem
vekur	sfg3en	vekja
hins	fakee	hinn
vegar	nkee	vegur
mestan	lkeose	mikill
óhug	nkeo	óhugur
fólks	nhee	fólk
er	sfg3en	vera
hve	aa	hve
auglýsingum	nvfþ	auglýsing
er	sfg3en	vera
beint	sþghen	beina
í	aþ	í
æ	aa	æ
ríkari	lkeþvm	ríkur
mæli	nkeþ	mælir
til	ae	til
ungs	lheesf	ungur
fólks	nhee	fólk
.	.	.

Markhópurinn	nkeng	markhópur
verður	sfg3en	verða
stöðugt	aa	stöðugt
yngri	lkenvm	ungur
og	c	og
er	sfg3en	vera
það	fphen	það
mörgum	lkfþsf	margur
hið	ghen	hinn
mesta	lhenve	mikill
áhyggjuefni	nhen	áhyggjuefni
.	.	.

Ungt	lhensf	ungur
fólk	nhen	fólk
er	sfg3en	vera
æðiáhrifagjarnt	lhensf	æðiáhrifagjarn
vegna	ae	vegna
þess	fphee	það
á	aþ	á
hve	aa	hve
mótandi	lkeþof	mótandi
aldri	nkeþ	aldur
það	fphen	það
er	sfg3en	vera
.	.	.

Lítið	lheosf	lítill
þarf	sfg3en	þurfa
til	ae	til
að	cn	að
breyta	sng	breyta
skoðunum	nvfþ	skoðun
þess	fphee	það
og	c	og
lífsviðhorfum	nhfþ	lífsviðhorf
.	.	.

Það	fphen	það
hefur	sfg3en	hafa
meira	lheovm	mikill
fé	nheo	fé
milli	ae	milli
handanna	nvfeg	hönd
en	c	en
áður	aa	áður
fyrr	aam	fyrr
og	c	og
vílar	sfg3en	víla
ekki	aa	ekki
fyrir	aþ	fyrir
sér	fpheþ	sig
að	cn	að
steypa	sng	steypa
sér	fpheþ	sig
í	ao	í
skuldir	nvfo	skuld
til	ae	til
að	cn	að
heltast	snm	helta
ekki	aa	ekki
úr	aþ	úr
neyslukapphlaupslestinni	nveþg	neyslukapphlaupslest
.	.	.

Í	ao	í
dag	nkeo	dagur
þykir	sfg3en	þykja
forneskjulegt	lhensf	forneskjulegur
meðal	ae	meðal
ungs	lheesf	ungur
fólks	nhee	fólk
að	cn	að
eiga	sng	eiga
ekki	aa	ekki
nýjustu	lhfove	nýr
tæki	nhfo	tæki
og	c	og
tól	nhfo	tól
,	,	,
t.a.m.	as	t.a.m.
farsíma	nkeo	farsími
,	,	,
víðómahljómflutningstæki	nhfo	víðómahljómflutningstæki
,	,	,
sjónvarp	nheo	sjónvarp
,	,	,
videotæki	nheo	videotæki
,	,	,
DVD-spilara	nkeo	DVD-spilari
og	c	og
fartölvu	nveo	fartölva
.	.	.

Ungt	lhensf	ungur
fólk	nhen	fólk
virðist	sfm3en	virða
líta	sng	líta
á	ao	á
skuldir	nvfo	skuld
sem	ct	sem
vandamál	nheo	vandamál
morgundagsins	nkeeg	morgundagur
og	c	og
tekur	sfg3en	taka
fyrir	ao	fyrir
einn	tfkeo	einn
dag	nkeo	dagur
í	aþ	í
einu	lheþsf	einn
í	aþ	í
neyslugleði	nveþ	neyslugleði
sinni	feveþ	sinn
.	.	.

Það	fphen	það
er	sfg3en	vera
einnig	aa	einnig
fljótt	lhensf	fljótur
að	cn	að
gleyma	sng	gleyma
;	;	;
gleypir	sfg3en	gleypa
hvert	foheo	hver
tískufyrirbrigið	nheog	tískufyrirbrig
á	ao	á
fætur	nkfo	fótur
öðru	foheþ	annar
og	c	og
gleymir	sfg3en	gleyma
því	faheþ	sá
síðasta	lheþve	síðari
.	.	.

Peningaleysi	nhen	peningaleysi
stendur	sfg3en	standa
því	fpheþ	það
ekki	aa	ekki
fyrir	aþ	fyrir
þrifum	nhfþ	þrif
,	,	,
langi	svg3en	langa
það	fpheo	það
í	ao	í
eitthvað	foheo	einhver
.	.	.

Þegar	c	þegar
kemur	sfg3en	koma
að	aþ	að
skuldadögum	nkfþ	skuldadagur
eru	sfg3fn	vera
aðrir	fokfn	annar
látnir	sþgkfn	láta
borga	sng	borga
brúsann	nkeog	brúsi
.	.	.

Í	aþ	í
harðnandi	lveþof	harðnandi
samkeppni	nveþ	samkeppni
virðast	sfm3fn	virða
auglýsendur	nkfn	auglýsandi
hafa	sng	hafa
komist	ssm	koma
á	ao	á
nýtt	lheosf	nýr
gróðabragð	nheo	gróðabragð
og	c	og
bera	sfg3fn	bera
ófáar	lvfnsf	ófár
auglýsingar	nvfn	auglýsing
þess	fphee	það
merki	nheo	merki
.	.	.

Í	aþ	í
auglýsingum	nvfþ	auglýsing
leikur	sfg3en	leika
yfirleitt	aa	yfirleitt
ungt	lhensf	ungur
og	c	og
myndarlegt	lhensf	myndarlegur
fólk	nhen	fólk
í	aþ	í
flottum	lhfþsf	flottur
