[ [
Búvörulög nven-s
] ]
1 ta
) )
1993 ta
nr. nhen
99 ta
8. ta
september nkeþ
 
1 ta
) )
L. nhfe
 
46/2015 ta
, ,
10. ta
gr. nveo
 
Upphaflega aa
l. lhensf
46/1985 ta
. .
 
Tóku sfg3fþ
gildi nhfn
1. ta
júlí nken
1985 ta
. .
 
Endurútgefin lvfnsf
, ,
sbr. as
22. ta
gr. nveo
l. lvensf
112/1992 ta
, ,
sem ct
l. nhfe
99/1993 ta
. .
 
Tóku sfg3fþ
gildi nhfn
9. ta
september nken
1993 ta
. .
 
Breytt ssg
með aþ
l. nhfþ
126/1993 ta
( (
tóku sfg3fþ
gildi nhfn
30. ta
des. nveþ
1993 ta
) )
, ,
l. lhfnsf
129/1993 ta
( (
tóku sfg3fþ
gildi nheo
30. ta
des. nveþ
1993 ta
) )
, ,
l. lhfnsf
34/1994 ta
( (
tóku sfg3fþ
gildi nheo
2. ta
maí nkeo
1994 ta
) )
, ,
l. lhfnsf
85/1994 ta
( (
tóku sfg3fþ
gildi nheo
3. ta
júní nkeo
1994 ta
) )
, ,
l. lhfnsf
141/1994 ta
( (
tóku sfg3fþ
gildi nheo
31. ta
des. nveþ
1994 ta
) )
, ,
l. lhfnsf
87/1995 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
júlí nkeo
1995 ta
) )
, ,
l. lhfnsf
99/1995 ta
( (
tóku sfg3fþ
gildi nheo
5. ta
júlí nkeo
1995 ta
) )
, ,
l. lhfnsf
121/1995 ta
( (
tóku sfg3fþ
gildi nheo
30. ta
nóv. nveo
1995 ta
) )
, ,
l. lhfnsf
124/1995 ta
( (
tóku sfg3fþ
gildi nheo
6. ta
des. nveþ
1995 ta
, ,
sjá sfg3fn
þó aa
21. ta
gr. nveo
) )
, ,
l. lhfnsf
147/1995 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
1996 ta
) )
, ,
l. lhfnsf
77/1997 ta
( (
tóku sfg3fþ
gildi nheo
6. ta
júní nkeo
1997 ta
) )
, ,
l. lhfnsf
84/1997 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
1998 ta
; ;
komu sfg3fþ
til ae
framkvæmda nvfe
skv. aþ
fyrirmælum nhfþ
í aþ
7. ta
gr. nveo
) )
, ,
l. lhfnsf
69/1998 ta
( (
tóku sfg3fþ
gildi nheo
24. ta
júní nkeo
1998 ta
, ,
sjá sfg3fn
þó aa
ákvæði nhfn
til ae
bráðabirgða nvfe
) )
, ,
l. lhfnsf
130/1998 ta
( (
tóku sfg3fþ
gildi nheo
3. ta
des. nveþ
1998 ta
, ,
sjá sfg3fn
þó aa
ákvæði nhfn
til ae
bráðabirgða nvfe
) )
, ,
l. lhfnsf
112/1999 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2000 ta
) )
, ,
l. lhfnsf
88/2000 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2001 ta
nema c
4. ta
mgr. nveo
7. ta
gr. nven
sem ct
tók sfg3eþ
gildi nheo
2. ta
júní nkeo
2000 ta
) )
, ,
l. lhfnsf
84/2002 ta
( (
tóku sfg3fþ
gildi nheo
21. ta
maí nkeo
2002 ta
) )
, ,
l. lhfnsf
101/2002 ta
( (
tóku sfg3fþ
gildi nheo
6. ta
júní nkeo
2002 ta
og c
gilda sfg3fn
til ae
31. ta
des. nveþ
2007 ta
) )
, ,
l. lhfnsf
82/2003 ta
( (
tóku sfg3fþ
gildi nheo
10. ta
apríl nkeo
2003 ta
) )
, ,
l. lhfnsf
131/2003 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2004 ta
) )
, ,
l. lhfnsf
61/2004 ta
( (
tóku sfg3fþ
gildi nheo
14. ta
júní nkeo
2004 ta
nema c
3. ta
– nhen
6. ta
gr. nven
sem ct
tóku sfg3fþ
gildi nheo
1. ta
sept. nvfo
2005 ta
) )
, ,
l. lhfnsf
85/2004 ta
( (
tóku sfg3fþ
gildi nheo
18. ta
júní nkeo
2004 ta
) )
, ,
l. lhfnsf
76/2005 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2006 ta
) )
, ,
l. lhfnsf
119/2005 ta
( (
tóku sfg3fþ
gildi nheo
1. ta
jan. nkeo
2006 ta
) )
, ,
l. lhfnsf
16/2007 ta
( (
