þrír nefndarmenn
þessarar greinar
þessara félagssamtaka
þeirri vöru
þeirri vinnslugrein
þarfir þjóðarinnar
útrýmingar sjúkdómum
útirækt ylrækt
úthlutun tollkvóta
úthlutun kvótans
öðlist samningarnir
önnur framlög
öflun gagna
óvígðri sambúð
óvenjulegs veðurfars
ákveðnar framleiðnikröfur
ákveðinna tímamarka
áframhaldandi hagræðingu
vörulið 0406
víkur sæti
viðaukum iva
viðaukum iiia
viðauka ivb
viðauka iiib
viðauka iia
virðisaukaskattsskylda veltu
virða endurgjald
vinnslufyrirtækja mjólkur
vetrarfóðruðum kindum
vetrarfóðraðar kindur
verðlagsgrundvöllurinn gildir
vernd afurðarheita
velferð dýra
velferð búfjár
veitingu innflutningsleyfa
vaxtaraukandi efni
varðar afurðaverð
varða sektum
uppfyllir kröfur
undangengins dóms
tíðni eftirlits
té starfslið
treysta tekju
tjónsins renni
tilteknu marki
tiltekinna liða
tiltekin krónutala
tilnefningu fulltrúa
tilnefna mann
tilhögun greiðslu
tekjuöflun ríkisins
sýnt þykir
sérstakri álagsgreiðslu
sérstakra rannsókna
svipaða menntun
störfum sínum
störf stofnunarinnar
stórfellds öskufalls
stofnun alþjóðaviðskiptastofnunar
stjórnir búgreinasamtaka
stenst kröfur
slíkra rannsókna
skilgreindu efnainnihaldi
skapa aðstæður
sjálfbæra landnýtingu
sanngjarnt verðlag
samþykkis jarðareiganda
samtökum verslunar
samsetningu mjólkurafurða
samræmdum hætti
samráðsvettvangur samningsaðila
sama hætti
sama hátt
sama efni
röskunar framleiðsluskilyrða
röskun framleiðsluskilyrða
rökstuddra upplýsinga
ríkisstjórnar íslands
ráðstöfun skertra
reikningar þessir
opinberum heilbrigðis
nýta sóknarfæri
nái ásetningur
neytendasamtökunum drög
nauðsynleg kynslóðaskipti
nafn leiguliða
mánaða tímabil
máli skipta
málefni vinnumarkaðar
málefnalegar ástæður
miklu álagi
meðferð vörunnar
merking orða
maí 1990
markmiðum stjórnvalda
lýðheilsustefnu stjórnvalda
löggildingu matsmanna
lækka greiðslurnar
lægra vöruverði
lágmarksverði mjólkur
lágmarki 90
lágmarki 0
loknu hléi
lok ábúðar
leifar lyfja
landssamtökum sauðfjárbænda
landssambandi kúabænda
kröfu stjórnvalda
konar samstarf
jöfn mismun
jafnmörgum líflömbum
jafnhá upphæð
innlendu viðmiðunarverði
innflutningur landbúnaðarvara
innflutningi afurðanna
inna greiðslu
höndum frumframleiðenda
hönd ríkisstjórnarinnar
hverri búgrein
hverja þyngdareiningu
hléi lýkur
hliðstæðum hætti
heilbrigða lífshætti
hefðbundinnar sérstöðu
hagþjónustu landbúnaðarins
hagstofu íslands
hagkvæmum framleiðsluháttum
góða þekkingu
gæðastýrðrar sauðfjárframleiðslu
gæðastýrða sauðfjárframleiðslu
gæðastýrð sauðfjárframleiðsla
greiðslutilhögun framlaga
greiðslu matsgjalds
greinina stuðli
gildandi verðlagsgrundvelli
gerð verðlagsgrundvallar
garðyrkjustöð merkir
ganga megi
félagi atvinnurekenda
fá ívilnun
fá bætt
fyrstu áramót
fulltrúum samningsaðila
frádráttar tollkvóta
framleiðslumagni mánaðarins
framleiðsla mjólkur
framleitt kindakjöt
framkvæmdanefnd búvörusamninga
framkvæma matið
framangreindu ásetningshlutfalli
fengnu samþykki
fenginni tillögu
erlendum mörkuðum
engin framleiðsla
endurnýjunar fjárstofnsins
einstakra samningsliða
einstakra framleiðsluvara
eigin vegum
eigin nota
efri marka
efla markaðsstarf
bókhaldsskyldra einstaklinga
bættri samkeppnishæfni
bættri afkomu
bændasamtökum íslands
bændasamtök íslands
bændasamtaka íslands
byrjun verðlagsárs
breytilegar aðstæður
breyta heildsöluverði
berist umsóknir
aðskilinn búrekstur
aðild sína
auðvelda nýliðun
auknar kröfur
annarra milliríkjasamninga
annarra aðskotaefna
annan hátt
annan frest
alvarlegra búfjár
almennum vinnumarkaði
almenn starfsskilyrði
afla rekstrarreikninga
000 kr
tollkvótann skal
tilkynna skal
sækja skal
skal byggt
skal boðið
skal andvirðið
miða skal
greiða skal
framleiðslutengdar skal
flytja skal
úttektir skv
ásetningshlutfalli skv
viðurkenningu skv
tilhögun skv
samtökum skv
landssamtök skv
gæðastýringargreiðslna skv
framkvæmda skv
– 73
– 48
verðlagningu búvara
framleiðslukostnað búvara
framleiðsla búvara
verði vörunnar
verði mjólkur
verði eigendaskipti
sanngjörnu verði
sama verði
lagður verði
jöfnuður verði
iðnaðar verði
kaupa greiðslumark
greiðslumark mjólkur
flytja greiðslumark
ónýttra beingreiðslna
tiltekinna afurða
rétthafa beingreiðslna
innflutningi afurða
heilnæmi afurða
heildarfjárhæð beingreiðslna
beingreiðslna takmarkast
beingreiðslna flyst
beingreiðslna felldur
afurðir nytjajurta
afurðir nautgripa
afurðir meðalbús
afurðir hlunninda
afurðir bús
afurðir búfjár
afurða alifiska
afsetningu afurða
ákvörðun verðlagsnefndar
ákvörðun heildsöluverðs
viðkomandi vöru
viðkomandi búvöru
slík ákvörðun
binda ákvörðun
greiðslumark skal
ærgildi greiðslumarks
samtök framleiðenda
réttindi framleiðenda
framsali greiðslumarks
framleiðenda nautgripa
framleiðenda garðyrkjuafurða
þeirri mjólk
þann tíma
álagningin tekur
ákveðins tíma
viðauka a
vinnsluaðilum mjólk
verðlagsnefnd búvöru
tryggðar beingreiðslur
söluaðilar skuli
stærðarmörk afurðastöðva
styðja framleiðslu
skuli ráðstafað
skuli metið
skuli innheimt
samtök afurðastöðva
samtaka afurðastöðva
sama tíma
ráðherra skipar
nemur 0
mjólkuriðnaði heimilt
matið tekur
lengri tíma
innvegna mjólk
heimilað sölu
gæðastýrða framleiðslu
greiðsluskyldu afurðastöðva
fá beingreiðslur
fyrirgreiðslunni nemur
framleiðslu vörunnar
framleiðandi kann
framleiðandi búvöru
framleitt a
flokks mjólk
falli beingreiðslur
enginn framleiðandi
desember 2020
desember 2019
bótunum nemur
beingreiðslur greiðast
afurðastöðin tekur
skal matvælastofnun
matvælastofnun skal
verðlagsnefnd skal
sölu skal
ráðherra skal
þessara laga
úthlutar tollkvótum
úthluta tollkvótum
áætla má
vinnslu nautgripaafurða
sé ábúandi
sé skipulag
skipta tollkvótum
opinberum aðila
nefndin fjallar
má gjaldið
matsgjaldið má
leigutaka lögbýlis
laga þessara
janúar 2021
innlagðar búvörur
höndum vinnslu
hverri afurðastöð
heimaslátruðu sauðfé
handhafi óskar
handhafa réttar
halda bókhaldi
haga greiðslum
fullorðið sauðfé
fresta greiðslum
einstakar búvörur
eigu aðila
eigandi lögbýlis
dreifingu raforku
dreifingu mjólkurafurða
verðlagsnefnd búvara
sölu búvara
framleiðslu búvara
skal nefndin
nefndin skal
greiðslum skv
aðila skv
ákveður afurðaverð
viðaukum i
viðauka i
vinnslu búvara
verðlagsársins komi
verð búvöru
undirflokkum 01
tóku gildi
tók gildi
teknu tilliti
safna upplýsingum
rætt hverju
reglum heilbrigðisyfirvalda
nýju teljist
nýju megi
misvísandi upplýsingum
meiri innflutning
maí 2002
maí 1997
maí 1994
mars 2007
magn mjólkur
komi samþykki
kafla tollskrár
hámarki 15
hliðstæðum kröfum
heimild verðlagsnefndar
greiðslumarki lögbýlisins
greiða verðjöfnun
framlengja samninga
einn mánuður
dreifingu búvara
búfjárbeit kemur
binda samninga
beinar greiðslur
banna innflutning
aðrar ákvarðanir
aðili hljóti
atvinnulegu tilliti
atvinnugreinanúmer 01
annast sölumeðferð
afurðastöð búvara
greiðslumark lögbýlis
sölu greiðslumarks
matvælastofnun heimilt
verðjöfnun skal
handhafa beingreiðslna
magn skv
kröfum skv
greiðslumarki skv
aðili skv
ráðherra heimilt
– 16
– 10
verð búvara
handhafi greiðslumarks
júní 2016
júní 2002
júní 1997
júní 1995
júní 1994
greiðslumark sauðfjár
afurða sauðfjár
ákvörðun nefndarinnar
viðkomandi lögbýli
þessari málsgrein
útflutning landbúnaðarvara
áætlun matvælastofnunar
áframhaldandi þróun
veitir rétt
uppruna vörunnar
tveimur framleiðendum
tollskrárnúmerin 0602
tiltekin fjárhæð
tilgangur laganna
tilfærslur framlaga
síðari breytingum
stöðugrar dreifingar
stuðningur ríkisins
stunda landbúnað
stofnun alþjóðaviðskiptastofnunarinnar
stjórn búvöruframleiðslunnar
starfsskilyrði sauðfjárræktar
starfsskilyrði nautgriparæktar
standa straum
slíka starfsemi
setja reglugerð
samþykki ábúanda
sala eykst
ræða viðskipti
ráðstafa framlögum
reglugerðum settum
nægjanlegt vöruframboð
nánustu samræmi
nauðsynlegt starfslið
málefni innflutnings
misnotkun tollkvóta
maí 2010
markmið ákvæða
liðar 30
leita tilboða
laga nr
komandi verðlagsár
júlí 2016
júlí 1995
heildargreiðslumarki ársins
heildargreiðslumark mjólkur
heilbrigði sláturdýra
halda sauðfé
hagkvæmri stærð
haft áhrif
hafi jarðareigandi
greiðslumarkinu heimil
greiðslu afurðaverðs
gildandi stuðla
gildandi samningum
gerður hafi
garðyrkjuafurðum árið
fullnægjandi aðstöðu
fráviksmörk beingreiðslu
frádregnum kostnaði
framleiðir grænmeti
framleiðenda teljast
framkvæma mat
framboð telst
fleiri krefjast
fjölbreyttara framboði
eðlilegar framleiðsluaðstæður
erlendan markað
eftirgreind atriði
býli sínu
breytingu skráningar
aukinni hagkvæmni
apríl 2003
afurðum dýra
96 27
93 28
verðlagsnefnd ákveður
tekur ákvarðanir
nemur 10
heimild ráðherra
einn framleiðandi
desember 2017
skal tilnefndur
skal skipt
skal kveðið
garðyrkjubýli skal
skilgreint skv
samningi skv
samning skv
rannsóknir skv
eftirlit skv
– f
– 70
– 49
– 38
– 32
– 29
– 18
– 12
magni búvara
janúar 2017
janúar 2007
handhafi greiðslna
handhafa greiðslna
búvörur teljast
1993 nr
verði samið
verði greiddar
júní 2009
júní 2008
júní 2004
júní 2000
júní 1998
greiðslumark lögbýla
greiðslumark framleiðanda
séu afurðir
hollustu afurða
ákvörðun heildargreiðslumarks
viðkomandi vara
viðkomandi landbúnaðarvörum
viðkomandi afurðastöðvar
tollalaga kemur
september 1993
kafla tollalaga
hverju lögbýli
láta matvælastofnun
júlí 2015
júlí 2011
júlí 1985
innlausn greiðslumarks
fela matvælastofnun
nefndinni heimilt
grundvelli a
eftirspurn a
desember 2013
sé tekið
lögum nr
halda skrá
framkvæmd mats
framkvæmd iv
framkvæmd innlausnar
afurðastöð skylt
ákvæðum fríverslunar
ákvæðum 65
september 2012
nánari reglum
greiðslur miðast
formaður nefndarinnar
annast verkefni
57 16
41 15
talið upplýsingar
framleiðendur tegunda
99 8
skal
skv
–
búvara
verði
júní
greiðslumark
beingreiðslna
afurðir
afurða
ákvörðun
viðkomandi
matvælastofnun
júlí
greiðslumarks
framleiðenda
verðlagsnefnd
tíma
tekur
sölu
skuli
ráðherra
nemur
mjólk
heimilt
framleiðslu
framleiðandi
desember
beingreiðslur
afurðastöðva
a
vinnslu
tollkvótum
sé
sauðfé
nr
nefndin
má
lögbýlis
laga
janúar
handhafi
handhafa
halda
greiðslum
framkvæmd
dreifingu
búvörur
aðila
afurðastöð
ákvæðum
ákveður
