Búnaðarlög nhfn búnaðarlag
  
nhfn nheo nhfn
  
búnaðarlag nhen búnaðarlag
  
1998 ta 1998
  
ta nven ta
  
1998 ta 1998
  
nr. nhen númer
  
nhen nkeog nhen
  
númer nhen númer
  
70 ta 70
  
ta nven ta
  
70 ta 70
  
15. ta 15.
  
ta nven ta
  
15 ta 15
  
. . .
  
júní nken júní
  
nken nkeog nken
  
júní nken júní
  
Ferill nken ferill
  
nken nkeog nken
  
ferill nken ferill
  
málsins nheeg mál
  
nheeg lvensf nheegur
  
mál nhen mál
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
Alþingi nhen-s alþingi
  
nhen-s nhee nhen-s
  
alþingi nhen alþingi
  
. . .
  
. . .
  
. . .
  
Frumvarp nhen frumvarp
  
nhen nkeog nhen
  
frumvarp nhen frumvarp
  
til ae til
  
ae sng ae
  
til ae til
  
laga nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
. . .
  
. . .
  
. . .
  
Tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
24. ta 24.
  
ta nven ta
  
24 ta 24
  
. . .
  
júní nken júní
  
nken nkeog nken
  
júní nken júní
  
1998 ta 1998
  
ta nven ta
  
1998 ta 1998
  
. . .
  
. . .
  
. . .
  
Breytt ssg breyta
  
ssg nkeo ssgur
  
breyta sng breyta
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
53/2003 ta 53
  
ta nven ta
  
53 ta 53
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
7. ta 7.
  
ta nven ta
  
7 ta 7
  
. . .
  
apríl nken apríl
  
nken nkeog nken
  
apríl nken apríl
  
2003 ta 2003
  
ta nven ta
  
2003 ta 2003
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
79/2004 ta 79
  
ta nven ta
  
79 ta 79
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
jan. nken janúar
  
nken nkeog nken
  
janúar nken janúar
  
2005 ta 2005
  
ta nven ta
  
2005 ta 2005
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
67/2005 ta 67
  
ta nven ta
  
67 ta 67
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
sept. nvfo septóna
  
nvfo sng nvfo
  
septóna nkfo septónur
  
2005 ta 2005
  
ta nven ta
  
2005 ta 2005
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
126/2011 ta 126
  
ta nven ta
  
126 ta 126
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
30. ta 30.
  
ta nven ta
  
30 ta 30
  
. . .
  
sept. nvfo septóna
  
nvfo sng nvfo
  
septóna nkfo septónur
  
2011 ta 2011
  
ta nven ta
  
2011 ta 2011
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
129/2012 ta 129
  
ta nven ta
  
129 ta 129
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
jan. nken janúar
  
nken nkeog nken
  
janúar nken janúar
  
2013 ta 2013
  
ta nven ta
  
2013 ta 2013
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
113/2015 ta 113
  
ta nven ta
  
113 ta 113
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
júlí nken júlí
  
nken nkeog nken
  
júlí nken júlí
  
2016 ta 2016
  
ta nven ta
  
2016 ta 2016
  
) ) )
  
) ) )
  
) ) )
  
, , ,
  
, , ,
  
, , ,
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
60/2016 ta 60
  
ta nven ta
  
60 ta 60
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
júlí nken júlí
  
nken nkeog nken
  
júlí nken júlí
  
2016 ta 2016
  
ta nven ta
  
2016 ta 2016
  
nema c nema
  
c x c
  
nema c nema
  
2. ta 2.
  
ta nven ta
  
2 ta 2
  
. . .
  
og c og
  
c x c
  
og c og
  
11. ta 11.
  
ta nven ta
  
11 ta 11
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
sem c sem
  
c x c
  
sem c sem
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
22. ta 22.
  
ta nven ta
  
22 ta 22
  
. . .
  
júní nken júní
  
nken nkeog nken
  
júní nken júní
  
2016 ta 2016
  
ta nven ta
  
2016 ta 2016
  
) ) )
  
) ) )
  
) ) )
  
og c og
  
c x c
  
og c og
  
l. nhfe lag
  
nhfe sng nhfe
  
lag nhen lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
( ( (
  
( ( (
  
( ( (
  
tóku sfg3fþ taka
  
sfg3fþ nhen sfg3fþ
  
taka sng taka
  
gildi nheo gildi
  
nheo sng nheo
  
gildi nheo gildi
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
jan. nken janúar
  
nken nkeog nken
  
janúar nken janúar
  
2017 ta 2017
  
ta nven ta
  
2017 ta 2017
  
) ) )
  
) ) )
  
) ) )
  
. . .
  
. . .
  
. . .
  
Ef c ef
  
c x c
  
ef c ef
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
þessum fakeþ þessi
  
fakeþ nhen fakeþ
  
þessi faven þessi
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
getið sfg2fn geta
  
sfg2fn nheo sfg2fn
  
geta sfg3fn geta
  
um ao um
  
ao sng ao
  
um ao um
  
ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
eða c eða
  
c x c
  
eða c eða
  
ráðuneyti nhen ráðuneyti
  
nhen nkeog nhen
  
ráðuneyti nhen ráðuneyti
  
án ae án
  
ae sng ae
  
án ae án
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
að cn að
  
cn e cn
  
að cn að
  
málefnasvið nhen málefnasvið
  
nhen nkeog nhen
  
málefnasvið nhen málefnasvið
  
sé svg3en vera
  
svg3en nkeog svg3en
  
vera sng vera
  
tilgreint ssg tilgreina
  
ssg nkeo ssgur
  
tilgreina sng tilgreina
  
sérstaklega aa sérstaklega
  
aa nkfo aur
  
sérstaklega aa sérstaklega
  
eða c eða
  
c x c
  
eða c eða
  
til ae til
  
ae sng ae
  
til ae til
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
vísað ssg vísa
  
ssg nkeo ssgur
  
vísa nven vísa
  
, , ,
  
, , ,
  
, , ,
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
átt ssg eiga
  
ssg nkeo ssgur
  
eiga sng eiga
  
við ao við
  
ao sng ao
  
við ao við
  
sjávarútvegs- nkee sjávarútvegsstyrkur
  
nkee sng nkee
  
sjávarútvegsstyrkur nken sjávarútvegsstyrkur
  
og c og
  
c x c
  
og c og
  
landbúnaðarráðherra nkee landbúnaðarráðherra
  
nkee sng nkee
  
landbúnaðarráðherra nkee landbúnaðarráðherra
  
eða c eða
  
c x c
  
eða c eða
  
atvinnuvega- nkfo atvinnuvegasjúklingur
  
nkfo sng nkfo
  
atvinnuvegasjúklingur nken atvinnuvegasjúklingur
  
og c og
  
c x c
  
og c og
  
nýsköpunarráðuneyti nhen nýsköpunarráðuneyti
  
nhen nkeog nhen
  
nýsköpunarráðuneyti nhen nýsköpunarráðuneyti
  
sem c sem
  
c x c
  
sem c sem
  
fer sfg3en fara
  
sfg3en nkeog sfg3en
  
fara sng fara
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
lög nhfn lag
  
nhfn nheo nhfn
  
lag nhen lag
  
þessi faven þessi
  
faven nkeog faven
  
þessi faven þessi
  
. . .
  
. . .
  
. . .
  
Upplýsingar nvfn upplýsing
  
nvfn nheo nvfn
  
upplýsing nven upplýsing
  
um ao um
  
ao sng ao
  
um ao um
  
málefnasvið nhen málefnasvið
  
nhen nkeog nhen
  
málefnasvið nhen málefnasvið
  
ráðuneyta nhfe ráðuneyti
  
nhfe sng nhfe
  
ráðuneyti nhen ráðuneyti
  
skv. aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
forsetaúrskurði nkeþ forsetaúrskurður
  
nkeþ nhen nkeþ
  
forsetaúrskurður nken forsetaúrskurður
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
finna sng finna
  
sng nven sng
  
finna sng finna
  
hér aa hér
  
aa nkfo aur
  
hér aa hér
  
. . .
  
. . .
  
. . .
  
I. lkeþve i.
  
lkeþve sng lkeþve
  
i e i
  
. . .
  
kafli nken kafli
  
nken nkeog nken
  
kafli nken kafli
  
. . .
  
. . .
  
. . .
  
Almenn lvensf almaÃ°ur
  
lvensf sfg3eþ lvensf
  
almaÃ nhen almaã
  
° nhen °
  
ur nken ur
  
ákvæði nhfn ákvæði
  
nhfn nheo nhfn
  
ákvæði nhfn ákvæði
  
. . .
  
. . .
  
. . .
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Skilgreiningar nvfn skilgreining
  
nvfn nheo nvfn
  
skilgreining nven skilgreining
  
. . .
  
. . .
  
. . .
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
. . .
  
. . .
  
. . .
  
Jarðabætur nvfn jarðabæta
  
nvfn nheo nvfn
  
jarðabæta nven jarðabæta
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
hvers fshee hver
  
fshee sng fshee
  
hver fsken hver
  
konar nkee konar
  
nkee sng nkee
  
konar nkee konar
  
framkvæmdir nvfn framkvæmd
  
nvfn nheo nvfn
  
framkvæmd nven framkvæmd
  
og c og
  
c x c
  
og c og
  
umbætur nvfn umbót
  
nvfn nheo nvfn
  
umbót nven umbót
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
jörð nven jörð
  
nven nkeog nven
  
jörð nven jörð
  
sem c sem
  
c x c
  
sem c sem
  
stuðla sng stuðla
  
sng nven sng
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
framförum nvfþ framför
  
nvfþ nhen nvfþ
  
framför nhfn framfar
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
búrekstri nkeþ búrekstur
  
nkeþ nhen nkeþ
  
búrekstur nken búrekstur
  
, , ,
  
, , ,
  
, , ,
  
þar aa þar
  
aa nkfo aur
  
þar aa þar
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
talin sþgven telja
  
sþgven nkeog sþgven
  
telja sng telja
  
ræktun nven ræktun
  
nven nkeog nven
  
ræktun nven ræktun
  
og c og
  
c x c
  
og c og
  
aðrar fovfo annar
  
fovfo sng fovfo
  
annar foken annar
  
landbætur nvfn landbæta
  
nvfn nheo nvfn
  
landbæta nven landbæta
  
, , ,
  
, , ,
  
, , ,
  
endurheimt ssg endurheimta
  
ssg nkeo ssgur
  
endurheimta sng endurheimta
  
landgæða nhfe landgæði
  
nhfe sng nhfe
  
landgæði nhfn landgæði
  
og c og
  
c x c
  
og c og
  
gerð nven gerð
  
